UniProtA	UniProtB	TaxIDA	TaxIDB	PDBSources	Domain	Date_after_train	NumResProt1	NumResProt2	DockQ_AFM	AFM_Score	Ires_Precision	Ires_Recall	AlignRate	human_MSA_depth	viral_MSA_depth	paired_MSA_depth
D0ZVG2	Q16512	588858.0	9606.0	4NKG-A:B;4NKG-C:D	Bacteria	False	234	66	0.0	0.2492803570027982	0.0	0.0	0.0	2047	2047	1023
P01903	P03437	9606.0	387139.0	1FYT-A:C;1J8H-A:C	Viruses	False	180	13	0.0	0.2695033988561103	0.1904760997732858	0.1176470242214634	0.0	2047	2047	0
P12506	P27487	11683.0	9606.0	2BGR-Y:A;2BGR-Z:B	Viruses	False	3	729	0.0	0.506782325279928	0.0825687997643302	0.8999991000009	0.0	2047	2047	0
P24941	P89883	9606.0	33708.0	1F5Q-A:B;1F5Q-C:B;1F5Q-C:D	Viruses	False	296	247	0.546	0.8962600571642201	0.6338027276334186	0.5172413198573196	0.989	2047	2047	1023
P69905	Q6G8J7	9606.0	282459.0	3OVU-C:B;3S48-C:B;3S48-D:A	Bacteria	False	140	144	0.044	0.7991300802628896	0.1348314455245566	0.3870966493236615	0.727	2047	1251	0
P19508	Q9Y3Z3	11738.0	9606.0	4CC9-B:C	Viruses	False	98	19	0.002	0.2579113759182707	0.0	0.0	1.0	2047	249	0
P01892	Q90VU7	9606.0	11676.0	4EMZ-D:C;4EMZ-E:B;4EN2-E:B	Viruses	False	18	159	0.002	0.4805199516953662	0.0289855030455792	0.0624999804687561	0.945	2047	2047	0
O15118	P87666	9606.0	128951.0	5F1B-C:A	Viruses	False	215	156	0.025	0.2874974966362957	0.0	0.0	0.896	2047	670	102
P50750	P69697	9606.0	11678.0	5L1Z-A:D	Viruses	False	311	49	0.021	0.6050359469751604	0.0624999902343765	0.2857140816327988	1.0	2047	2047	0
P30460	Q9YRL8	9606.0	10359.0	4QRT-A:C	Viruses	False	276	9	0.0	0.2058423567375871	0.0322580541103051	0.0322580541103051	0.0	2047	15	1
O43521	Q6VZT9	9606.0	44088.0	5WOS-B:A	Viruses	False	21	138	0.857	0.8428720807371108	0.3974358464825838	0.9117644377163416	1.0	1613	783	250
P04501	Q14126	45659.0	9606.0	6QNT-A:D;6QNT-B:D;6QNU-A:D;6QNU-A:E;6QNU-B:D;6QNU-C:E;6SIT-A:D	Viruses	True	191	238	0.033	0.2024676757398484	0.0	0.0	0.929	2047	666	0
P01555	P62330	243277.0	9606.0	2A5D-B:A	Bacteria	False	184	163	0.03	0.49557109383622	0.3947367382271741	0.3333332592592757	0.838	2047	1801	234
O60684	P31345	9606.0	392809.0	4UAD-A:E	Viruses	False	425	75	0.007	0.2456123581186761	0.0	0.0	1.0	2047	715	0
P01730	Q993A8	9606.0	11676.0	2NY1-B:A;2NY3-B:A	Viruses	False	181	298	0.456	0.7753974713713128	0.7659572838388757	0.6545453355372117	0.959	2047	2047	0
P03129	P28749	333760.0	9606.0	4YOZ-B:A	Viruses	False	9	214	0.0	0.5772206123197403	0.1509433677465343	0.8888879012356653	0.0	2047	758	0
P01903	Q8NKX2	9606.0	186103.0	1HQR-A:D	Bacteria	False	176	205	0.006	0.7144122405622642	0.0208333289930564	0.1111109876544581	1.0	2047	433	0
P84243	Q1HVJ0	9606.0	82830.0	5KDM-A:D	Viruses	False	99	180	0.003	0.3434071043487029	0.0	0.0	0.994	2047	2047	1023
O14763	Q6RJQ3	9606.0	295027.0	4I9X-D:A	Viruses	False	108	187	0.119	0.4248859629655707	0.4912279839950905	0.4516128303850273	0.944	2047	38	0
P35961	Q5EBM2	362651.0	9606.0	2I5Y-G:H	Viruses	False	295	168	0.0	0.3035101811389913	0.0181818148760336	0.0769230177515248	0.0	2047	2047	0
P04637	Q0TR53	9606.0	195103.0	2YDR-P:A	Bacteria	False	8	577	0.0	0.4727673348163693	0.1090908892562019	0.3999997333335111	0.0	2047	2047	982
Q14116	Q9DHU8	9606.0	132475.0	4EEE-B:A;4EEE-D:C;4EKX-B:A;4EKX-D:C	Viruses	False	148	115	0.937	0.8450422385968959	0.6415093129227711	0.7555553876543583	0.971	796	172	5
O60563	P69697	9606.0	11678.0	5L1Z-B:D	Viruses	False	255	49	0.0	0.6075032869021779	0.6753245876201834	0.6265059486137411	0.0	2047	2047	0
P02768	Q51911	9606.0	1260.0	1TF0-A:B;2VDB-A:B	Bacteria	False	575	53	0.006	0.8014496636978776	0.1578947160664847	0.285714217687091	1.0	2047	724	0
Q05059	Q92956	10304.0	9606.0	1JMA-A:B	Viruses	False	259	100	0.86	0.654738423475206	0.7755100458142763	0.8444442567901651	0.983	2047	106	0
P01903	P0A0L2	9606.0	1280.0	1LO5-A:D	Bacteria	False	179	232	0.0	0.275389423080713	0.0454545351239692	0.0666666444444518	0.0	2047	483	1
I0AXC3	Q8TCD0	1159784.0	9606.0	5W42-A:L	Viruses	False	319	167	0.0	0.5325247133724258	0.0408163182007513	0.1428570408163994	0.0	2047	2045	0
P03437	P13760	387139.0	9606.0	1J8H-C:B	Viruses	False	13	179	0.0	0.2274271117402824	0.0	0.0	0.0	2047	2047	0
P12978	Q15326	10377.0	9606.0	5HDA-B:A;5HDA-B:C;5HDA-D:A;5HDA-D:C	Viruses	False	9	121	0.0	0.2096346946410209	0.04819276527798	0.1904760997732858	0.0	2047	1743	8
P03366	P03989	11678.0	9606.0	4G8G-C:A;4G9D-C:A;4G9F-C:A	Viruses	False	10	276	0.0	0.2193510299046553	0.0	0.0	0.0	2047	2047	1
P61077	Q6RCR3	9606.0	446.0	6CP0-B:A	Bacteria	False	146	510	0.606	0.7919769793804952	0.6451610822061026	0.7692304733728949	0.956	2047	603	2
P13987	Q9LCB8	9606.0	1338.0	4BIK-B:A;4BIK-D:C;5IMT-D:A	Bacteria	False	77	463	0.907	0.7289014884670533	0.5769229659763526	0.7894734764543483	0.993	2047	1722	0
B6DRA0	Q16630	11676.0	9606.0	6AY9-A:B	Viruses	False	218	12	0.0	0.3997544468488513	0.0	0.0	0.0	2047	2007	0
Q49DS8	Q6P5S8	11676.0	9606.0	2NXY-A:C	Viruses	False	134	188	0.021	0.2807423292258506	0.0181818148760336	0.4999975000124999	0.756	2047	2047	0
P0CG47	P0DTD1	9606.0	2697049.0	6XAA-B:A	Viruses	True	75	309	0.0	-1.0	-1.0	-1.0	0.0	2047	2047	859
P60953	Q06277	9606.0	228400.0	4ITR-C:B;4ITR-D:A;6SIU-C:A;6SIU-C:B;6SIU-D:A	Bacteria	False	191	300	0.0	-1.0	-1.0	-1.0	0.0	2047	2047	321
P00747	P00779	9606.0	119602.0	1BML-A:C;1BML-A:D;1BML-B:C;1BML-B:D;1L4D-A:B;1L4Z-A:B	Bacteria	False	249	327	0.029	0.3299498816576781	0.1499999625000093	0.0408163237539915	0.789	2047	105	0
P04578	P18465	11706.0	9606.0	6BXQ-A:B	Viruses	False	8	276	0.004	0.2653105806018364	0.4324323155588336	0.5517239476813973	1.0	2047	2047	0
P69332	P78423	10360.0	9606.0	4XT1-A:B;4XT3-A:B	Viruses	False	293	68	0.857	0.7307662706960729	0.3560605790863198	0.7833332027777995	1.0	2047	2047	635
P63208	Q5ZTL7	9606.0	272624.0	5K35-B:A	Bacteria	False	146	164	0.769	0.867086634364165	0.7083332349537174	0.7391303276622713	1.0	2047	2047	94
P05534	Q9WPV9	9606.0	11676.0	3WLB-A:C	Viruses	False	274	10	0.0	0.2481212837061247	0.0	0.0	0.0	2047	2047	0
Q99816	Q9IF21	9606.0	11676.0	1M4P-A:B;1M4Q-A:B	Viruses	False	144	9	0.0	0.3708170517227332	0.464285548469447	0.5652171455577628	0.0	2047	2047	0
P16778	Q07812	10360.0	9606.0	2LR1-B:A	Viruses	False	21	192	0.013	0.6632917548610366	0.1025640894148603	0.5714281632655976	0.886	2047	28	0
P03204	P30685	10377.0	9606.0	1CG9-C:A	Viruses	False	8	277	0.009	0.2983053815908429	0.3265305456060111	0.6399997440001024	0.996	2047	435	81
P18465	Q70A61	9606.0	11676.0	2BVQ-A:C	Viruses	False	272	8	0.0	0.3919559184885263	0.292682855443206	0.4799998080000768	0.0	2047	2047	0
A0A2R4LVT4	P52630	64320.0	9606.0	6WCZ-B:A	Viruses	True	880	350	0.0	-1.0	-1.0	-1.0	0.0	2047	2047	14
P01903	P12495	9606.0	11683.0	1SJE-A:C;1SJH-A:C	Viruses	False	180	15	0.0	0.43975500346127	0.0983606396130098	0.1764705363321951	0.0	2047	2047	1
P03303	Q9H3P7	12131.0	9606.0	6HLT-B:A;6HLT-D:C	Viruses	True	40	126	0.0	0.2392981234611616	0.0	0.0	0.0	2047	2047	15
D3HJY4	P14784	661367.0	9606.0	6E8K-A:B	Bacteria	True	157	3	0.005	0.700803139522131	0.1320754467782176	0.6363630578517656	0.96	2047	112	0
Q6N030	Q8Q7Z9	9606.0	11676.0	2NY6-D:A	Viruses	False	163	101	0.0	0.5584543127137166	0.0	0.0	0.0	2047	2047	0
P08581	P25147	9606.0	169963.0	2UZX-B:A;2UZX-B:C;2UZX-D:A;2UZX-D:C;2UZY-B:A;2UZY-D:C	Bacteria	False	632	285	0.0	-1.0	-1.0	-1.0	0.0	-1	-1	-1
P02788	Q54972	9606.0	1313.0	2PMS-A:C;2PMS-A:D;2PMS-B:D	Bacteria	False	330	105	0.341	0.688449463980493	0.4905659451762367	0.4126983471907385	0.908	2047	2047	41
M4STU1	P62987	1306931.0	9606.0	4RF0-A:B;4RF1-A:B	Viruses	False	321	75	0.0	-1.0	-1.0	-1.0	0.0	2047	2047	864
P52948	Q8B0H7	9606.0	434490.0	4OWR-B:C	Viruses	False	54	174	0.005	0.2557397429336599	0.0	0.0	0.994	2047	42	0
P18010	P18206	623.0	9606.0	2GWW-B:A;3RF3-C:A;3RF3-C:B;3RF3-D:A;3RF3-D:B	Bacteria	False	46	258	0.007	0.4888218397812963	0.7166665472222421	0.4831460131296614	1.0	2047	89	0
P35961	Q6PIL8	362651.0	9606.0	3HI1-G:L;3HI1-J:A	Viruses	False	287	203	0.004	0.2820397120065211	0.1176469896194178	0.1249999218750488	0.989	2047	2047	0
P19551	Q6P5S8	11704.0	9606.0	2NXZ-A:C;2NY0-A:C;2NY2-A:C;2NY4-A:C;2NY5-G:L	Viruses	False	283	188	0.006	0.2885885250814975	0.0	0.0	0.9	2047	2047	0
O00629	P0C1C7	9606.0	121791.0	6BVV-A:B	Viruses	False	416	24	0.017	0.5809413109106383	0.4342104691828329	0.4782608002520579	1.0	2047	38	0
O00629	P0C1C6	9606.0	928303.0	6BW9-A:B;6BWA-A:B;6BWB-A:B	Viruses	False	416	26	0.028	0.4436623408257658	0.0803571356823985	0.1249999826388913	1.0	2047	38	0
A8CDU0	P04229	527221.0	9606.0	2IPK-C:B	Viruses	False	12	190	0.034	0.2413277648385502	0.1384615171597666	0.310344720570786	0.925	2047	1153	0
P0CG48	Q6RCR1	9606.0	446.0	5ZQ3-C:B;5ZQ3-D:A;5ZQ4-C:B;5ZQ4-D:A;5ZQ5-B:A;5ZQ5-D:C;5ZQ6-B:A;5ZQ6-D:C;5ZQ7-B:A;5ZQ7-D:C	Bacteria	False	76	829	0.008	0.4548745906429752	0.4482757847800371	0.2857142543171149	0.896	2047	826	37
B7TQM6	X5DSL3	9606.0	770.0	6BBO-A:D;6BBO-E:H	Bacteria	False	178	205	0.017	0.4094772134563672	0.0	0.0	0.945	2047	2047	2
P36711	P78310	28282.0	9606.0	1KAC-A:B;1P69-A:B;1P6A-A:B	Viruses	False	185	123	0.872	0.5465617264258128	0.6749998312500421	0.6749998312500421	1.0	2047	894	11
P01730	Q75760	9606.0	11676.0	2B4C-C:G;4JM2-F:E	Viruses	False	175	336	0.494	0.6021988314437646	0.8409088997934318	0.5967740972945004	0.979	2047	2047	0
P01024	P68799	9606.0	158878.0	2GOX-A:B;2GOX-C:D	Bacteria	False	291	65	0.0	0.2729004983545529	0.0	0.0	0.0	2047	286	0
P00742	P23827	9606.0	83333.0	1P0S-H:E	Bacteria	False	235	138	0.754	0.7711773202397987	0.6170211453146499	0.6744184478096632	0.997	2047	2047	103
Q6P5S8	Q8Q7Z9	9606.0	11676.0	2NY6-C:A	Viruses	False	188	101	0.0	0.628095583184249	0.0	0.0	0.0	2047	2047	0
P04637	Q9WYW0	9606.0	243274.0	1YC5-B:A;2H2D-B:A;2H2F-B:A;2H4F-D:A;2H4J-D:A;2H59-D:A;2H59-D:B;2H59-E:A;2H59-E:B;3PDH-D:A;4BUZ-P:A;4BV2-E:B;4BV2-H:B	Bacteria	False	13	246	0.003	0.6186426471035503	0.5121949970256104	0.5675674141709691	1.0	2047	2047	1023
P05893	Q8WUM4	11735.0	9606.0	2XS1-B:A	Viruses	False	15	695	0.004	0.262969529273413	0.1578946537396559	0.0882352681660975	1.0	2047	2047	0
O52623	P60953	90371.0	9606.0	1GZS-B:A;1GZS-B:C;1GZS-D:C	Bacteria	False	163	178	0.921	0.8663366633713591	0.5411764069204227	0.5411764069204227	1.0	2047	88	4
P12499	P18464	11683.0	9606.0	1E28-C:A	Viruses	False	8	275	0.0	0.2191271698327684	0.0	0.0	0.0	2047	2047	1
P62937	Q72497	9606.0	11676.0	1M9C-A:D;1M9C-B:C;1M9C-B:D;1M9E-A:D;1M9E-B:C;1M9E-B:D;1M9F-A:D;1M9F-B:C;1M9F-B:D	Viruses	False	165	146	0.766	0.8149953093257906	0.6399997440001024	0.484848337924746	1.0	2047	2047	1
Q16611	Q85295	9606.0	10273.0	2JBY-B:A	Viruses	False	25	127	0.083	0.4254362069217033	0.3404254594839447	0.4324323155588336	0.984	2047	15	0
O43521	P0C6Z1	9606.0	82830.0	2WH6-B:A	Viruses	False	22	157	0.74	0.7529234983517092	0.4430379186027951	0.8536583283760174	1.0	1299	669	0
Q77DJ5	Q7Z6E9	128951.0	9606.0	6E5X-A:B	Viruses	True	127	13	0.008	0.2444287978468671	0.0	0.0	1.0	2047	99	0
P13500	Q2F862	9606.0	10258.0	4ZK9-B:A	Viruses	False	61	216	0.939	0.7694667500836777	0.6451611862643247	0.7843135717032211	1.0	2047	62	0
P08160	Q14790	46015.0	9606.0	1I4E-A:B;2FUN-A:B;2FUN-C:D	Viruses	False	293	243	0.415	0.5292619169127628	0.6122447730112708	0.6122447730112708	0.973	2047	37	0
P01892	P12901	9606.0	10414.0	1HHH-A:C	Viruses	False	275	10	0.0	0.2713631779860486	0.2083332465278139	0.1851851165981049	0.0	2047	1652	0
P46934	Q05128	9606.0	128952.0	2KQ0-A:B	Viruses	False	35	9	0.0	0.2148228572544607	0.1777777382716137	0.4444441975310014	0.0	2047	87	0
A0A0C5HAL9	Q9UHB7	11676.0	9606.0	6CYT-D:C	Viruses	False	48	30	0.0	0.3188309402233828	0.0512820381328107	0.3333327777787037	0.0	2047	2047	0
P15529	Q772X2	9606.0	10541.0	3O8E-B:A;3O8E-B:C;3O8E-D:A;3O8E-D:C	Viruses	False	252	197	0.031	0.3557819930192459	0.4782607655954857	0.468085006790424	0.944	2047	623	0
P68871	Q2FG07	9606.0	367830.0	4XS0-B:C	Bacteria	False	146	313	0.024	0.8612721810961941	0.0	0.0	0.991	2047	2047	3
Q16531	Q80IU5	9606.0	489498.0	3I7H-A:B	Viruses	False	1114	14	0.008	0.8501233140491425	0.3281249487304767	0.5249998687500328	0.857	2047	1109	2
P03204	P30481	10377.0	9606.0	3DX6-C:A;3DX7-C:A;3DX8-C:A	Viruses	False	10	276	0.003	0.2117464495039732	0.399999840000064	0.3333332222222592	1.0	2047	435	82
A4GWM6	P12830	1639.0	9606.0	2OMT-A:B	Bacteria	False	460	100	0.007	0.2632151622793757	0.0505050454035307	0.0757575642791569	0.994	2047	2047	1023
P01892	P12499	9606.0	11683.0	1P7Q-A:C	Viruses	False	276	9	0.0	0.2197386993935609	0.0	0.0	0.0	2047	2047	1
P10845	Q496J9	1491.0	9606.0	4JRA-A:D;4JRA-B:C;5JLV-A:C;5JLV-A:D;5JLV-B:C;5JLV-B:D	Bacteria	False	425	94	0.0	-1.0	-1.0	-1.0	0.0	-1	-1	-1
P02787	Q09057	9606.0	491.0	3VE1-B:A;3VE1-B:C;3VE1-D:A;3VE1-D:C	Bacteria	False	677	545	0.813	0.8707217049552527	0.6842104362881004	0.4952380480725668	0.998	2047	2047	0
P30481	Q3KSS8	9606.0	10376.0	4JQX-A:B	Viruses	False	276	12	0.132	0.2010187232278558	0.2115384208579959	0.3793102140309606	0.996	2047	16	0
Q6JKR9	Q96MU8	42769.0	9606.0	6SNW-A:E;6SNW-B:E;6SNW-C:E	Viruses	True	779	292	0.001	0.2364391991159993	0.0	0.0	1.0	2047	2047	17
P01857	P38507	9606.0	1280.0	1FC2-D:C	Bacteria	False	199	43	0.008	0.2753319126849752	0.0	0.0	0.912	2047	2047	440
P18464	P24740	9606.0	11703.0	1E27-A:C	Viruses	False	276	9	0.0	0.2566290513209152	0.2222221728395171	0.3846152366864474	0.0	2047	2047	1
P15144	Q1HVL3	9606.0	11137.0	6U7F-A:C;6U7F-B:D	Viruses	True	897	104	0.003	0.2618849753031742	0.0	0.0	1.0	2047	1952	11
P30685	Q9YYU8	9606.0	11676.0	4LNR-A:C	Viruses	False	276	11	0.0	0.4958422446131065	0.1304347542533142	0.2142856377551293	0.0	2047	2047	0
A0A0D6HC73	P11215	1280.0	9606.0	6RHW-H:C	Bacteria	True	271	168	0.006	0.3286551433719274	0.5999988000024	0.076923057199216	1.0	2047	224	0
P13747	Q0QI92	9606.0	10359.0	3AM8-B:F	Viruses	False	276	9	0.0	0.3872932767654246	0.1923076553254508	0.3448274673008733	0.0	2047	11	5
P13051	Q936H5	9606.0	1280.0	5AYR-A:B;5AYR-A:D;5AYR-C:B;5AYR-C:D	Bacteria	False	220	109	0.867	0.913104045052427	0.6862743752403185	0.555555467372148	0.997	2047	201	96
Q8WUM4	Q9WC62	9606.0	388904.0	2R02-A:B	Viruses	False	695	11	0.0	0.3026102826559303	0.1363635743801934	0.1304347258979452	0.0	2047	2047	0
P13746	R4X2K3	9606.0	1336602.0	4MJ6-A:C	Viruses	False	274	11	0.0	0.2317661257674217	0.2799998880000448	0.2499999107143176	0.0	2047	288	0
Q0TR53	Q15750	195103.0	9606.0	2YDS-A:T	Bacteria	False	577	5	0.0	0.4662730969931354	0.0172413763376937	0.0714285204081997	0.0	2047	2047	682
Q6N030	Q993A8	9606.0	11676.0	2NY1-D:A;2NY3-D:A	Viruses	False	164	298	0.005	0.412901248713113	0.0	0.0	0.965	2047	2047	0
P0DTC2	Q9BYF1	2697049.0	9606.0	6LZG-B:A;6M0J-E:A	Viruses	True	195	597	0.006	0.2924856441694093	0.0	0.0	1.0	2047	2047	8
P15529	P35774	9606.0	343462.0	2O39-C:A;2O39-D:B	Viruses	False	126	197	0.037	0.3513911847526887	0.3404254594839447	0.516128865764882	0.879	2047	623	0
P01042	Q8KRB4	9606.0	1901.0	2WOK-B:A	Bacteria	False	6	553	0.004	0.4036419602562677	0.0631578880886433	0.2727271487603869	0.991	2047	2047	3
G9HS63	Q8N5F4	11676.0	9606.0	4HPY-P:L	Viruses	False	11	203	0.002	0.2448972894560432	0.1538460355030496	0.1111110493827503	0.958	2047	2047	0
D1MPH2	Q6IPQ0	517266.0	9606.0	5W0D-A:C	Viruses	False	212	190	0.003	0.4670746027287493	0.0232558085451608	0.3333322222259259	0.721	2047	2047	0
C5MK56	P03206	9606.0	10377.0	3VFN-A:C;3VFO-A:C;3VFP-A:C;3VFR-A:C	Viruses	False	276	13	0.0	0.2144486810254678	0.258620645065406	0.51724120095131	0.0	2047	15	0
P10845	P60880	1491.0	9606.0	1XTG-A:B;3DDA-A:B;3DDB-A:B	Bacteria	False	422	59	0.0	-1.0	-1.0	-1.0	0.0	-1	-1	-1
P13688	Q8GDI6	9606.0	210.0	6GBH-B:A;6GBH-D:C	Bacteria	False	108	324	0.928	0.5593842523423316	0.7555553876543583	0.6666665359477381	1.0	2047	2047	0
P03300	Q9H3P7	12081.0	9606.0	6HLV-B:A	Viruses	True	40	127	0.0	0.2427052396519897	0.0	0.0	0.0	2047	2047	16
A0A2A4GXB5	P05164	53344.0	9606.0	6BMT-B:A	Bacteria	False	70	573	0.019	0.3561925306420787	0.2666665777778074	0.1290322372528649	1.0	2047	28	0
Q9BXH1	Q9DHU6	9606.0	132475.0	6TQP-B:A	Viruses	True	26	142	0.744	0.7433593648549921	0.576271088767612	0.7234041014033826	0.994	489	384	362
P01579	Q66793	9606.0	12643.0	3BES-L:R	Viruses	False	132	250	0.674	0.5843524200894944	0.7045452944215239	0.7749998062500484	0.95	1267	368	20
P68036	Q3YTH2	9606.0	300269.0	4Q5E-C:A;4Q5H-C:A	Bacteria	False	152	168	0.948	0.8566574243577685	0.6842103462604351	0.7222220216049939	0.994	2047	1470	4
O14646	Q38SQ2	9606.0	387159.0	4O42-A:B	Viruses	False	173	7	0.0	0.2333113776833753	0.0	0.0	0.0	2047	182	0
A0A129J378	Q9GZQ8	446.0	9606.0	5XAD-C:A;5XAD-D:B	Bacteria	False	23	119	0.012	0.6956457847711388	0.0508474490089069	0.2727270247936138	1.0	2047	17	2
P03407	P08631	11685.0	9606.0	3RBB-A:B;3RBB-A:D;3RBB-C:B;3RBB-C:D;3REA-A:B;3REA-A:D;3REA-C:B;3REA-C:D;3REB-A:B;3REB-C:D;4ORZ-B:A;4U5W-A:B;4U5W-A:D;4U5W-C:B;4U5W-C:D	Viruses	False	153	164	0.013	0.3195457922763465	0.2045454080578617	0.1363636157024824	0.982	2047	2047	2
P01892	Q03463	9606.0	421877.0	3MRG-A:P;3MRH-A:P;3MRI-A:P;3MRJ-A:P;3MRL-A:P	Viruses	False	274	9	0.0	-1.0	-1.0	-1.0	0.0	2047	2047	0
P04229	P12495	9606.0	11683.0	1SJE-B:C;1SJH-B:C	Viruses	False	190	15	0.0	0.243998599443904	0.0930232341806432	0.1428570918367529	0.0	2047	2047	1
P0C1C7	P31947	121791.0	9606.0	6W0L-P:A	Viruses	True	5	231	0.009	0.5003271442823777	0.285714217687091	0.6315786149586237	0.978	2047	38	0
P78423	Q7TDW8	9606.0	12643.0	3ONA-B:A	Viruses	False	66	157	0.563	0.7137399360959819	0.4285713265306365	0.7826083553876716	0.927	2047	2047	617
P03466	P03989	211044.0	9606.0	2BST-C:A	Viruses	False	9	276	0.0	0.2314615291586293	0.3142856244898215	0.3793102140309606	0.0	2047	293	0
O14646	T2F8K6	9606.0	1348507.0	4NW2-A:B;4NW2-C:D	Viruses	False	173	13	0.0	0.2383336720925813	0.0	0.0	0.0	2047	182	0
P01857	P19909	9606.0	1320.0	1FCC-A:C;1FCC-B:D	Bacteria	False	199	56	0.002	0.1871899160855476	0.0	0.0	0.922	2047	580	1
P62330	Q7DB50	9606.0	83334.0	3PCR-B:A;4FME-C:A;4FME-C:D	Bacteria	False	160	351	0.015	0.8589151552330201	0.1739130182734756	0.3076922287968643	1.0	2047	37	2
Q96HN0	Q9YIV0	9606.0	333760.0	2NNU-B:A	Viruses	False	20	200	0.03	0.4140886235385058	0.0925925754458193	0.199999920000032	1.0	1851	1049	1
P08174	Q9QP24	9606.0	46018.0	3IYP-F:A	Viruses	False	251	277	0.0	0.2372817120449142	0.0	0.0	0.0	2047	2047	2
P08411	Q9UN86	11033.0	9606.0	5DRV-B:A	Viruses	False	8	129	0.002	0.3764991530546228	0.5121949970256104	0.9999995238097504	1.0	2047	2047	48
P04626	P38507	9606.0	1280.0	3MZW-A:B	Bacteria	False	569	40	0.0	0.2397120602056246	0.0384615236686447	0.0322580541103051	0.0	2047	2047	870
P01730	Q1PHM6	9606.0	11676.0	3LQA-C:G	Viruses	False	175	281	0.606	0.6077140135324797	0.7333331703704066	0.7021275101856361	0.958	2047	2047	0
P02679	Q2G015	9606.0	93061.0	2VR3-C:A;2VR3-C:B;2VR3-D:A;2VR3-D:B	Bacteria	False	9	312	0.0	0.199738355135951	0.0909090082645379	0.0232558085451608	0.0	2047	2047	1023
P04229	P04664	9606.0	387147.0	2G9H-B:C	Viruses	False	190	13	0.003	0.5479490547547453	0.1397849312059213	0.4482757074911354	1.0	2047	1954	0
P69905	Q2FG07	9606.0	367830.0	4XS0-A:C	Bacteria	False	141	313	0.729	0.8589838693222509	0.4747474267931892	0.7014924326130697	0.993	2047	2047	3
P30460	Q3KST2	9606.0	10376.0	3SKM-A:C;3SKO-A:C	Viruses	False	273	9	0.0	0.3478001533900012	0.0676691678444234	0.2812499121094024	0.0	2047	71	0
P05362	V9VEF3	9606.0	12089.0	6EIT-4:1;6EIT-4:2;6EIT-4:3	Viruses	False	85	775	0.002	0.2449428438735836	0.0	0.0	1.0	2047	2047	0
P0DP24	Q5ZTK6	9606.0	272624.0	6PLM-C:A;6PLM-D:B;6S5T-B:A	Bacteria	True	147	757	0.888	0.930921645049617	0.6481480881344363	0.6603772961908211	0.999	2047	408	9
P05534	Q9YYU3	9606.0	11676.0	3VXM-A:C;3W0W-A:C	Viruses	False	274	10	0.0	0.3433362049848834	0.0109890097814274	0.0303030211202966	0.0	2047	2047	0
P01024	Q931M7	9606.0	158878.0	3L5N-A:M;3L5N-B:M;3NMS-A:M;3NMS-B:M	Bacteria	False	1532	84	0.347	0.5758261025413913	0.6451610822061026	0.4545453512396928	0.617	2047	73	0
P01730	Q0ED31	9606.0	11676.0	4H8W-C:G;4P9H-C:G	Viruses	False	177	339	0.584	0.6198436404839976	0.7441858734451456	0.6399998720000255	0.976	2047	2047	0
