Uid1	Uid2	P2_MSA_depth	P1_MSA_depth	paired_MSA_depth
D2E1L9	Q5SQN1	811	2047	412
P0C723	Q5SRE7	2047	32	0
P04618	Q5SRQ6	2047	2047	0
P10238	Q5SRQ6	2047	85	0
P10204	Q5SW96	2047	51	0
A5Z256	Q5SXM2	2047	700	0
A6YJF2	Q5SXM2	2047	105	0
F5CGQ0	Q5SXM2	2047	206	0
Q0A2H0	Q5SXM2	2047	206	0
Q0A2H1	Q5SXM2	2047	105	0
Q20MH4	Q5SXM2	2047	103	0
Q2PJP0	Q5SXM2	2047	211	0
Q2PJP1	Q5SXM2	2047	107	0
Q3SBS5	Q5SXM2	2047	111	0
Q5SXM2	Q6DP94	103	2047	0
Q5SXM2	Q6DPA0	102	2047	0
Q5SXM2	Q6VE52	206	2047	0
Q5SXM2	R9WKI0	104	2047	0
O41932	Q5SYE7	2047	28	0
P06429	Q5T0F9	2047	862	0
P03188	Q5T124	2047	623	1
P0C763	Q5T124	2047	621	1
P06788	Q5T160	2047	691	0
P06463	Q5T1M5	2047	1138	2
P06929	Q5T1M5	2047	1099	0
P36801	Q5T1Q4	2047	1107	1
P03126	Q5T1Z8	2047	1134	2
P03129	Q5T1Z8	2047	758	0
P06427	Q5T1Z8	2047	1116	1
P06428	Q5T1Z8	2047	1093	1
P06429	Q5T1Z8	2047	862	0
P06463	Q5T1Z8	2047	1139	3
P06465	Q5T1Z8	2047	947	0
P06788	Q5T1Z8	2047	691	0
P06929	Q5T1Z8	2047	1100	1
P06930	Q5T1Z8	2047	1086	1
P24835	Q5T1Z8	2047	1139	2
P36799	Q5T1Z8	2047	1114	2
P36817	Q5T1Z8	2047	861	0
P36827	Q5T1Z8	2047	692	0
P06428	Q5T280	2047	1093	1
P06463	Q5T2W1	2047	1139	3
P29996	Q5T4F4	2047	671	0
P03129	Q5T4S7	2047	758	0
P06464	Q5T4S7	2047	783	0
Q20MH8	Q5T4S7	2047	222	0
P03126	Q5T5U3	2047	1134	2
P06463	Q5T5U3	2047	1139	3
P10191	Q5T7M9	2047	142	0
P03126	Q5T7W7	2047	1134	2
Q5T7W7	Q81983	0	2047	0
P14079	Q5T8I9	2047	106	0
Q5TA31	Q6J8G2	2047	2047	2
Q5TA31	Q9WC28	2047	2047	2
P06932	Q5TAP6	2047	888	0
P06427	Q5TAQ9	2047	1116	1
P36799	Q5TAQ9	2047	651	2
P36801	Q5TAQ9	2047	1107	1
P59634	Q5TBA9	2047	59	0
Q5TC82	Q8JSN5	701	2047	0
P03126	Q5TCQ9	2047	1134	2
P06463	Q5TCQ9	2047	682	3
Q5TDH0	Q8JSN8	1676	2047	0
P06463	Q5TFE4	2047	1139	3
P36801	Q5TH69	2047	1107	1
Q5TYW2	Q8JSN5	701	2047	0
P03129	Q5UIP0	2047	758	0
P24835	Q5VSL9	2047	1139	2
O41949	Q5VSY0	1215	143	0
P08393	Q5VSY0	1233	2047	35
P10231	Q5VSY0	1215	72	0
P03120	Q5VT06	2047	1843	1
P04015	Q5VT06	2047	1855	1
P06422	Q5VT06	2047	1702	1
P06423	Q5VT06	2047	1988	2
P06921	Q5VT06	2047	1883	2
P24830	Q5VT06	2047	1678	1
P36778	Q5VT06	2047	1525	1
P36780	Q5VT06	2047	1897	1
P03129	Q5VTE0	2047	758	0
P06428	Q5VTE0	2047	1093	1
P06429	Q5VTE0	2047	862	0
P06430	Q5VTE0	2047	870	0
P06788	Q5VTE0	2047	691	0
P10233	Q5VTL8	2047	93	0
P03107	Q5VTR2	2047	2047	2
P17389	Q5VTR2	2047	2047	2
H9XIJ5	Q5VTT2	1183	715	0
O41946	Q5VU43	2047	37	0
P0CK48	Q5VU43	2047	126	1
P88992	Q5VU43	2047	305	1
Q5VU43	Q8JSN8	1665	2047	0
P14335	Q5VV67	2047	2047	13
O41964	Q5VVJ2	2047	84	0
P36801	Q5VWK5	2047	1106	0
P06430	Q5VWN6	2047	870	0
P06932	Q5VWN6	2047	888	0
Q5VWP2	Q8JSN8	1656	1952	0
P06428	Q5VWQ8	2047	1093	1
P06463	Q5VWQ8	2047	1139	3
P06465	Q5VWQ8	2047	947	0
Q1HVH2	Q5VWX1	2047	30	0
P06932	Q5VWZ2	2047	888	0
P88992	Q5W0Q7	2047	305	1
Q0A2H1	Q5W0U4	2047	105	0
Q2PJP1	Q5W0U4	2047	107	0
Q3SBS5	Q5W0U4	2047	111	0
Q5W0U4	Q6DP94	103	2047	0
Q5W0U4	Q6DPA0	102	2047	0
P29996	Q5W0Z9	2047	671	0
P14079	Q5W5X9	2047	106	0
P59634	Q5XPI4	2047	59	0
Q5XUX0	Q6J8G2	2047	2047	1
Q5XUX0	Q9WC28	2047	2047	1
Q60I27	Q6J8G2	2047	2047	23
Q60I27	Q9WC28	2047	2047	14
F8W0W8	Q65212	318	2047	20
P06428	Q658P3	2047	1092	0
P88993	Q659C4	2047	46	0
P26669	Q66GS9	2047	1803	190
E7BBT6	Q66K64	1040	783	0
P03129	Q66K64	1040	758	0
P06429	Q66K64	1040	862	0
P06788	Q66K64	1040	691	0
P03120	Q66K74	2047	1843	1
P03129	Q66K74	2047	758	0
P04015	Q66K74	2047	1855	1
P06422	Q66K74	2047	1702	1
P06423	Q66K74	2047	1988	2
P06429	Q66K74	2047	862	0
P06430	Q66K74	2047	870	0
P06463	Q66K74	2047	1139	3
P06788	Q66K74	2047	691	0
P06921	Q66K74	2047	1883	2
P06929	Q66K74	2047	1100	1
P06930	Q66K74	2047	1086	1
P24830	Q66K74	2047	1678	1
P36778	Q66K74	2047	1525	1
P36780	Q66K74	2047	1897	1
P36791	Q66K74	2047	1675	1
P36799	Q66K74	2047	1114	2
P36810	Q66K74	2047	1079	1
P36827	Q66K74	2047	692	0
Q66K74	Q6J8G2	2047	2047	17
Q66K74	Q9QLP4	804	2047	0
Q66K74	Q9WC28	2047	2047	10
P06932	Q66K89	2047	455	0
Q64770	Q66K89	2047	12	0
Q66K89	Q69027	947	2047	1
P03410	Q66PJ3	1031	88	0
Q20MH3	Q674X7	2047	206	0
Q674X7	Q6VE52	206	2047	0
Q674X7	Q8JSN8	1653	2047	0
P06429	Q68CP9	2047	862	0
P06430	Q68CP9	2047	870	0
P06788	Q68CP9	2047	691	0
Q68CP9	Q88489	2047	2047	18
Q68CP9	Q91NH1	2047	2047	16
P03126	Q68DX3	2047	675	2
P06463	Q68DX3	2047	682	3
P10191	Q68DY1	2047	48	0
P10215	Q68G74	2047	110	0
P29996	Q68G75	1167	671	0
E7EV75	Q69022	42	2047	0
G5E975	Q69022	42	2047	0
A0A0A0MTL5	Q69027	1111	2047	2
A0A5F9UQ55	Q69027	1111	2047	2
A8MYV6	Q69027	1111	2047	2
D6RFN0	Q69027	1111	2047	2
A8MU27	Q69140	396	2047	64
B8ZZN6	Q69140	396	2047	62
H7C2N1	Q69140	388	902	23
P06930	Q69YH5	1691	1085	0
O41970	Q69YQ0	2047	140	0
Q69YU3	Q8JSN5	701	2047	0
H9XIJ5	Q6EEV4	20	715	0
Q6GTX8	Q98822	2047	2047	0
P06463	Q6IAA8	1304	1139	3
P29996	Q6IAL9	577	671	0
P03433	Q6IB77	2047	695	0
P03433	Q6IBW4	2047	695	0
P29996	Q6ICI0	1638	671	0
P06428	Q6ICL0	7	1092	0
P06428	Q6IPX4	2047	1093	1
P36801	Q6IPX4	2047	1107	1
P24835	Q6KB66	2047	1139	2
P14335	Q6NSJ2	2047	2047	8
Q6NSJ2	Q9E7P0	2047	2047	7
P36827	Q6NSJ5	2047	692	0
Q20MD0	Q6NT76	1807	206	0
P0C6Z9	Q6NUQ1	2047	112	0
Q69140	Q6NUQ1	2047	398	64
P06428	Q6NUQ4	2047	1093	1
P36801	Q6NXG1	2047	1107	1
P10233	Q6NXP0	2047	93	0
P03129	Q6NYC8	2047	758	0
P06428	Q6NYC8	2047	1092	0
P14079	Q6NYC8	2047	106	0
P36817	Q6NZI2	1456	861	0
P03129	Q6P0N0	1867	758	0
P06932	Q6P0N0	1867	888	0
P36817	Q6P0N0	1867	861	0
Q6P0N0	Q9QLP4	804	1867	0
P88993	Q6P0N6	2047	46	0
P89653	Q6P0N6	2047	5	2
P06463	Q6P0Q8	2047	682	3
P21605	Q6P0Q8	2047	1883	1023
P24835	Q6P1K1	1005	1138	1
P06428	Q6P1R4	2047	1094	2
P03410	Q6P1W5	423	143	55
P03428	Q6P1W5	368	715	0
P03508	Q6P1W5	407	143	39
P06932	Q6P1W5	368	888	0
P10210	Q6P1W5	368	205	0
Q1HVG1	Q6P1W5	496	143	128
Q20MC6	Q6P1W5	368	715	0
Q20MD1	Q6P1W5	408	143	40
P06930	Q6P1X5	2047	1086	1
P06932	Q6P1X5	2047	888	0
P06930	Q6P2Q9	2047	1086	1
Q1HVI8	Q6P2Q9	2047	49	1
P03410	Q6P435	423	222	134
P14079	Q6P435	405	222	116
P03363	Q6P597	2047	2047	366
P17367	Q6P597	2047	2047	184
P12848	Q6P5S2	1726	2047	789
P03087	Q6P5X7	783	428	0
P29996	Q6P9G4	558	671	0
P06477	Q6PDB4	2047	162	0
P03410	Q6PEX3	1132	88	0
P14079	Q6PEX3	1132	106	0
P03070	Q6PEY2	2047	2047	32
P0C206	Q6PF05	2047	45	0
P14079	Q6PF05	2047	106	0
P06429	Q6PF18	2047	862	0
P14079	Q6PF18	2047	106	0
A6YJF2	Q6PI77	2047	105	0
Q0A2H1	Q6PI77	2047	105	0
Q20MH4	Q6PI77	2047	103	0
Q20P38	Q6PI77	2047	105	0
Q2PJP0	Q6PI77	2047	211	0
Q2PJP1	Q6PI77	2047	107	0
Q6DP94	Q6PI77	2047	103	0
Q6PI77	Q6VE52	206	2047	0
Q6PI77	R9WKI0	104	2047	0
P03410	Q6PIY2	2047	88	0
P14079	Q6PIY2	2047	106	0
P14079	Q6PJI1	1982	106	0
P0CK48	Q6PKC3	2047	126	1
Q1K9H2	Q6PKG0	2047	285	0
P24835	Q6RW13	1264	1138	1
Q6T4R5	Q8JSN5	701	2047	0
A0A097PIH4	Q6UB98	2047	2047	16
O09234	Q6UB98	2047	2047	15
P03087	Q6UE05	167	428	0
P36827	Q6UN15	2047	692	0
P06428	Q6UW68	2047	1093	1
P10204	Q6UWN8	2047	51	0
Q6UWP8	Q80HW9	1494	1755	0
P03087	Q6UXG3	2047	428	0
B9A5V9	Q6UXK2	2047	2047	0
B9A6D9	Q6UXK2	2047	58	0
P88988	Q6UXV4	2047	55	0
P06428	Q6UY11	2047	1093	1
P04601	Q6VY07	2047	2047	0
P06429	Q6WKZ4	2047	862	0
P36801	Q6YP21	2047	1107	1
P03126	Q6ZMN7	2047	1134	2
P03129	Q6ZMU5	2047	758	0
P06429	Q6ZMU5	2047	862	0
P06430	Q6ZMU5	2047	870	0
P06788	Q6ZMU5	2047	691	0
Q6ZMU5	Q80908	903	2047	0
H9XIJ5	Q6ZMV9	2047	715	0
P11258	Q6ZN40	2047	84	0
Q6ZNA4	Q8JSN5	701	2047	0
P10204	Q6ZP80	2047	51	0
P03264	Q6ZRS2	2047	128	0
P03265	Q6ZRS2	2047	129	0
P14335	Q6ZTR7	1430	2047	6
P88983	Q6ZU65	1852	18	0
P03410	Q6ZUT1	435	88	0
P03410	Q6ZVK8	2047	88	0
P14079	Q6ZVK8	2047	106	0
P03087	Q6ZWT7	2047	428	0
P03087	Q70HW3	2047	428	0
P03346	Q719H9	2047	2047	938
Q71F23	Q9QR71	2047	2047	287
P06481	Q71SY5	2047	41	0
P0CK48	Q71U36	2047	126	1
P0CK54	Q71U36	2047	154	1
P06430	Q71UM5	2047	870	0
P23372	Q76M96	2047	50	0
P14335	Q76N89	2047	2047	16
K7EM18	Q76R61	1649	2047	0
A0A087WWT0	Q76R62	-1	-1	-1
A0A0A0MTI5	Q76R62	-1	-1	-1
A6NMH8	Q76R62	2047	2047	1
B1AHH2	Q76R62	2047	2047	1
B7ZKJ8	Q76R62	2047	2047	0
G8JLG2	Q76R62	2047	200	0
H3BSP9	Q76R62	2047	461	0
P29996	Q7KYR7	2047	671	0
P16749	Q7KZ85	2047	48	0
P88987	Q7KZ85	2047	21	0
P19811	Q7KZF4	2047	858	0
Q69022	Q7KZF4	2047	42	0
P08393	Q7L190	546	2047	2
P14079	Q7L2R6	2047	106	0
P10224	Q7L2Z9	996	2047	685
P06428	Q7L4I2	2047	1093	1
P10218	Q7L4P6	746	74	0
P10224	Q7L4P6	1278	2047	746
P06930	Q7L523	2047	1085	0
P06477	Q7L5A8	2047	162	1
A0A288CFT1	Q7L5N1	2047	1825	0
P06463	Q7L5N1	2047	1139	3
P06428	Q7L5N7	2047	1093	1
P36801	Q7L5N7	2047	1107	1
Q7L804	Q8JSN5	701	2047	0
P10204	Q7L8A9	2047	51	0
P03433	Q7LBR1	2047	695	0
Q1K9H5	Q7RTY1	2047	1655	0
P03433	Q7Z3B4	1931	695	0
Q1I2B2	Q7Z3B4	1931	703	0
O41941	Q7Z3E2	2047	71	0
O41947	Q7Z3K3	2047	95	0
P04020	Q7Z3K3	2047	324	0
P88991	Q7Z3K3	2047	2047	0
Q1HVG1	Q7Z3K3	2047	15	0
O41949	Q7Z3S9	2047	143	0
P03087	Q7Z404	2047	428	0
O41957	Q7Z406	2047	136	0
P17367	Q7Z406	2047	2047	162
P03087	Q7Z419	2047	428	0
O41925	Q7Z429	2047	3	1
P10209	Q7Z4H7	1620	171	0
P10210	Q7Z4H7	1620	205	0
P10211	Q7Z4H7	1620	360	0
Q6J8G2	Q7Z4W1	2047	2047	30
Q7Z4W1	Q9WC28	2047	2047	17
Q69022	Q7Z5K2	2047	42	0
P29996	Q7Z5P4	2047	671	0
H8Y6L2	Q7Z5R6	2047	2047	15
P14335	Q7Z5R6	2047	2047	13
Q7Z5R6	Q8QXP6	2047	2047	14
Q7Z5R6	Q9E7P0	2047	2047	12
P06930	Q7Z695	2047	1085	0
Q05323	Q7Z6E9	2047	99	0
P0C6Z9	Q7Z6G3	2047	112	0
P0C763	Q7Z6G3	2047	623	0
Q7Z6G3	Q9E7P0	2047	2047	0
P03129	Q7Z6J0	2047	758	0
P06427	Q7Z6J9	2047	1116	1
P06463	Q7Z6J9	2047	1139	3
P06929	Q7Z6J9	2047	1100	1
Q7Z6J9	Q8JSN5	701	2047	0
P06422	Q7Z6Z7	2047	1702	1
P06921	Q7Z6Z7	2047	1883	2
P36780	Q7Z6Z7	2047	1897	1
Q77UU1	Q7Z6Z7	2047	1640	1
Q7Z769	Q8JSN5	701	2047	0
O41939	Q7Z7A1	2047	172	0
P17367	Q7Z7A1	2047	2047	193
P08393	Q7Z7J5	579	2047	2
P03129	Q7Z7L7	2047	758	0
P06428	Q7Z7M9	2047	1093	1
P06430	Q7Z7M9	2047	870	0
P36817	Q7Z7M9	2047	861	0
P36827	Q7Z7M9	2047	692	0
Q7Z7M9	Q9QLP4	804	2047	0
A0A6Q8PGK1	Q805P6	44	2047	0
A6NFX8	Q80HV3	1594	2047	0
P04288	Q86SE5	2047	108	0
P06429	Q86SG4	531	862	0
P06430	Q86SG4	531	870	0
P06788	Q86SG4	527	691	0
P36827	Q86SG4	531	692	0
Q86SG4	Q9QLP4	804	531	0
Q86SZ2	Q8JSN8	1667	2047	0
P29996	Q86T03	1478	671	0
P88992	Q86T75	2025	305	1
Q86TI2	Q8JSN8	1668	2047	0
P36801	Q86TM6	2047	1107	1
P03317	Q86TV6	2047	2047	926
Q1H8W6	Q86TV6	2047	2047	462
P06465	Q86U28	2047	947	0
P06788	Q86U28	2047	691	0
P06932	Q86U28	2047	888	0
P03495	Q86U42	2047	206	0
P0C206	Q86UA6	2047	45	0
Q86UE4	Q8JSN5	701	775	0
P03129	Q86UK7	2047	758	0
P03126	Q86UL8	2047	1134	2
P06463	Q86UL8	2047	1139	3
O41957	Q86UP2	2047	136	0
O41964	Q86UP2	2047	84	0
P06428	Q86UR1	2047	1093	1
P29996	Q86UW2	424	671	0
Q86UY8	Q8JSN5	701	2047	0
Q86V20	Q9WC28	2047	2047	0
P06429	Q86V42	1118	862	0
P88986	Q86V48	2047	40	0
P88995	Q86VE9	2047	42	0
P03087	Q86VI4	2047	428	0
A0A097PIH4	Q86VK4	2047	2047	8
O09234	Q86VK4	2047	2047	7
P06429	Q86VK4	2047	862	0
P03070	Q86VM9	2047	2047	5
O41947	Q86VP1	2047	95	0
P03120	Q86VP1	2047	1842	0
P03126	Q86VP1	2047	1133	1
P04015	Q86VP1	2047	1854	0
P06422	Q86VP1	2047	1701	0
P06423	Q86VP1	2047	1986	0
P06921	Q86VP1	2047	1881	0
P24830	Q86VP1	2047	1677	0
P36778	Q86VP1	2047	1524	0
P36780	Q86VP1	2047	1896	0
P36791	Q86VP1	2047	1674	0
Q07275	Q86VP1	2047	2047	0
Q77UU1	Q86VP1	2047	1639	0
P12848	Q86VP6	2047	2047	1023
P10191	Q86VW0	2047	142	0
P06428	Q86W33	1343	1093	1
P06929	Q86W33	1343	1100	1
P24835	Q86W33	1343	1139	2
P88987	Q86W92	2047	21	0
P06930	Q86WA6	2047	1087	2
P03211	Q86WN1	2047	247	5
Q69022	Q86WN1	2047	42	0
P06428	Q86X02	1308	1093	1
P06428	Q86X19	2047	1092	0
P36801	Q86X29	2047	1106	0
P14079	Q86X55	2047	61	0
P03186	Q86X95	2047	147	4
P06429	Q86X95	2047	862	0
P18378	Q86X95	2047	1136	2
Q1HVH9	Q86X95	2047	233	19
P03087	Q86XJ0	1843	428	0
P06788	Q86XP3	2047	244	0
P06422	Q86XZ4	1084	1701	0
P06921	Q86XZ4	1084	1881	0
P36780	Q86XZ4	1084	1896	0
P36791	Q86XZ4	1084	1674	0
P06463	Q86Y07	2047	1139	3
P0C6Z1	Q86Y07	2047	1299	3
P0C6Z9	Q86Y13	2047	112	0
P03129	Q86Y26	1017	758	0
P06930	Q86YB8	2047	1086	1
P03129	Q86YD7	445	758	0
P04020	Q86YD7	445	770	0
P06932	Q86YD7	445	888	0
Q86YT6	Q8JSN5	701	2047	0
D6REE5	Q88940	0	2047	0
A0A096LPC5	Q89121	2047	2047	0
A0A0U1RQC9	Q89268	2047	2047	30
A0A2R8YG02	Q89268	2047	2047	39
B0QYN7	Q89268	2047	2047	43
H3BPE7	Q89268	2047	2047	36
A0A6E1WCP9	Q8AZK7	50	2047	0
Q69138	Q8HWS3	2047	68	0
Q2KRY7	Q8IUC0	1259	56	0
P26672	Q8IUC6	863	98	0
E7BBT6	Q8IUD6	2047	783	0
P03129	Q8IUD6	2047	758	0
P06429	Q8IUD6	2047	862	0
P06788	Q8IUD6	2047	691	0
P03410	Q8IUF8	2047	88	0
P14079	Q8IUF8	2047	106	0
P10230	Q8IUH3	2047	93	0
P03227	Q8IUQ4	2047	226	2
P03431	Q8IUQ4	2047	1655	0
P0C763	Q8IUQ4	2047	612	2
P68343	Q8IUQ4	2047	549	137
Q1HVG4	Q8IUQ4	2047	110	12
Q20MC8	Q8IUQ4	2047	1657	0
P68446	Q8IUR0	2047	21	0
P04591	Q8IUX4	2047	2047	0
P69722	Q8IUX4	2047	2047	0
Q76R61	Q8IUX4	2047	1649	1
A0A097PIH4	Q8IV53	2047	2047	15
O09234	Q8IV53	2047	2047	14
P14357	Q8IVF2	2047	73	0
P03087	Q8IVM8	2047	428	0
P06428	Q8IVS8	2047	1093	1
P06429	Q8IVS8	2047	862	0
C4P226	Q8IVU1	2047	2047	0
P29996	Q8IVU1	2047	671	0
P06428	Q8IWA5	2047	1093	1
Q8IWB7	Q8JSN5	701	2047	0
P88995	Q8IWB9	2047	42	0
Q8IWD4	Q8JSN5	701	374	0
Q8IWE2	Q8JSN5	701	1576	0
P03120	Q8IWI9	2047	1843	1
P03129	Q8IWI9	2047	758	0
P04015	Q8IWI9	2047	1855	1
P06422	Q8IWI9	2047	1702	1
P06423	Q8IWI9	2047	1988	2
P06430	Q8IWI9	2047	870	0
P06465	Q8IWI9	2047	947	0
P06788	Q8IWI9	2047	691	0
P06921	Q8IWI9	2047	1883	2
P24830	Q8IWI9	2047	1678	1
P36778	Q8IWI9	2047	1525	1
P36780	Q8IWI9	2047	1897	1
Q77UU1	Q8IWI9	2047	1640	1
Q8IWI9	Q9QLP4	804	2047	0
Q8IWV2	Q8JSN5	651	2047	0
P36817	Q8IWV8	2047	861	0
P03129	Q8IWX8	2047	758	0
P06422	Q8IWX8	2047	1702	1
P06423	Q8IWX8	2047	1988	2
P06429	Q8IWX8	2047	862	0
P06430	Q8IWX8	2047	870	0
P06465	Q8IWX8	2047	947	0
P06788	Q8IWX8	2047	691	0
P06921	Q8IWX8	2047	1883	2
P06932	Q8IWX8	2047	888	0
P36780	Q8IWX8	2047	1897	1
P36817	Q8IWX8	2047	861	0
P36827	Q8IWX8	2047	692	0
Q8IWX8	Q9QLP4	804	2047	0
P24835	Q8IWZ3	2047	682	2
P88996	Q8IWZ3	2047	29	0
Q76R61	Q8IX03	2047	1649	3
P29996	Q8IX05	2047	671	0
P06932	Q8IXB1	2047	888	0
H9XIJ5	Q8IXJ9	2047	715	0
P06430	Q8IXK0	2047	870	0
Q88489	Q8IXK0	2047	2047	15
Q76R61	Q8IXM3	1844	1649	1
P03317	Q8IXT5	2047	2047	343
P23372	Q8IXT5	2047	50	0
Q1H8W6	Q8IXT5	2047	2047	59
P29996	Q8IY17	2047	671	0
P68600	Q8IY57	2047	69	0
P06932	Q8IYA8	408	888	0
P10238	Q8IYA8	426	103	18
P03363	Q8IYF3	1016	2047	205
P88996	Q8IYH5	1244	29	0
P06428	Q8IYI6	2047	1093	1
P29996	Q8IYJ0	174	671	0
P24835	Q8IYJ3	2047	1139	2
P03129	Q8IYM9	2047	758	0
P10224	Q8IYN2	584	2047	285
Q8IYW5	Q9WC28	2047	2047	9
P06428	Q8IYX8	1302	1092	0
P0C6Z9	Q8IYX8	1302	112	0
P0C763	Q8IYX8	1302	623	0
Q1HVD1	Q8IYX8	1303	2047	1
Q1HVF7	Q8IYX8	1410	2047	202
O41932	Q8IZ21	2047	28	0
P06429	Q8IZ52	2047	862	0
P06463	Q8IZ52	2047	1139	3
P10201	Q8IZ63	397	240	126
P03129	Q8IZC6	2047	758	0
P06788	Q8IZC6	2047	691	0
P24830	Q8IZC6	2047	1678	1
P36799	Q8IZC6	2047	1114	2
P36827	Q8IZC6	2047	692	0
P06788	Q8IZQ1	2047	244	0
P14079	Q8IZQ1	2047	61	0
P29996	Q8N0W7	234	671	0
P03120	Q8N1B4	2047	1843	1
P04015	Q8N1B4	2047	1855	1
P06422	Q8N1B4	2047	1702	1
P06423	Q8N1B4	2047	1988	2
P06921	Q8N1B4	2047	1883	2
P24830	Q8N1B4	2047	1678	1
P36778	Q8N1B4	2047	1525	1
P36780	Q8N1B4	2047	1897	1
P36791	Q8N1B4	2047	1675	1
Q77UU1	Q8N1B4	2047	1640	1
Q1HVI8	Q8N1F7	2047	49	1
P06428	Q8N271	2047	1093	1
Q8N287	Q9QLP4	804	2047	0
P36801	Q8N2A0	2047	1106	0
P03188	Q8N2S1	2047	625	0
