Top_S	Top_NS	p_val	Virus	Significance	log_p_val	organism	Category
18	5	0.552631578947372	28285		0.257564301882888	Human adenovirus C serotype 5	Human_viruses
16	3	0.322274459005156	295027		0.491774111964107	Human cytomegalovirus (strain Merlin)	Human_viruses
24	2	0.298314172211018	31552		0.525326113829234	Human papillomavirus type 6	Human_viruses
8	5	0.552631578947372	31684		0.257564301882888	Simian immunodeficiency virus agm.grivet (isolate AGM gr-1)	Non-human_viruses_that_do_not_infect_humans
26	7	0.322274459005156	31762		0.491774111964107	Hepatitis delta virus genotype I (isolate D380)	Human_viruses
14	1	0.322274459005156	329599		0.491774111964107	Influenza A virus	Human_viruses
144	39	0.322274459005156	333760		0.491774111964107	Human papillomavirus type 16	Human_viruses
98	20	0.298314172211018	333761		0.525326113829234	Human papillomavirus type 18	Human_viruses
27	5	0.322274459005156	333763		0.491774111964107	Human papillomavirus type 32	Human_viruses
83	16	0.298314172211018	333923		0.525326113829234	Human papillomavirus 5	Human_viruses
3	1	0.552631578947372	337052		0.257564301882888	Bovine papillomavirus type 1	Non-human_viruses_that_do_not_infect_humans
90	15	0.322274459005156	33708		0.491774111964107	Murid herpesvirus 4	Non-human_viruses_that_do_not_infect_humans
35	5	0.373526755087824	363744		0.427678284957419	Influenza A virus	Human_viruses
14	2	0.373526755087824	37122		0.427678284957419	Human papillomavirus type 6a	Human_viruses
5	1	0.552631578947372	37296		0.257564301882888	Human herpesvirus 8	Human_viruses
1	1	0.552631578947372	37959		0.257564301882888	Human papillomavirus 38	Human_viruses
23	1	0.298314172211018	380337		0.525326113829234	Influenza A virus (strain A/Equine/Prague/1/1956 H7N7)	Human_viruses
25	4	0.552631578947372	381517		0.257564301882888	Influenza A virus (strain A/Udorn/307/1972 H3N2)	Human_viruses
61	8	0.298314172211018	381518		0.525326113829234	Influenza A virus (strain A/Wilson-Smith/1933 H1N1)	Human_viruses
4	0	0.510814896798979	382835		0.291736445975463	Influenza A virus	Human_viruses
20	1	0.322274459005156	385599		0.491774111964107	Influenza A virus (strain A/Udorn/1972 H3N2)	Human_viruses
16	5	0.552631578947372	392809		0.257564301882888	Influenza A virus (strain A/Victoria/3/1975 H3N2)	Human_viruses
35	4	0.322274459005156	402527		0.491774111964107	Influenza A virus (strain A/Chicken/Scotland/1959 H5N1)	Human_viruses
20	1	0.322274459005156	442553		0.491774111964107	Influenza A virus	Human_viruses
12	6	0.552631578947372	512345		0.257564301882888	Hepatitis E virus genotype 3 (isolate Swine/United States/swUS1)	Non-human_viruses_that_infect_humans
28	7	0.322274459005156	512346		0.491774111964107	Hepatitis E virus genotype 1 (isolate Human/India/Hyderabad)	Human_viruses
32	3	0.322274459005156	644788		0.491774111964107	Influenza A virus	Human_viruses
4	0	0.489932667780465	648242		0.309863601646372	Adeno-associated virus 2 (isolate Srivastava/1982)	Human_viruses
23	9	0.552631578947372	694009		0.257564301882888	Severe acute respiratory syndrome coronavirus	Non-human_viruses_that_infect_humans
86	18	0.301089987929936	82830		0.521303685732924	Epstein-Barr virus (strain AG876)	Human_viruses
26	11	0.574681983738305	868565		0.24057241777092	Human herpesvirus 8 type P (isolate GK18)	Human_viruses
26	6	0.322274459005156	928302		0.491774111964107	Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto/-)	Human_viruses
5	1	0.552631578947372	997555		0.257564301882888	Influenza A virus	Human_viruses
