Top_I	Top_NI	p_val	Total_NI	Total_I	Virus	Significance	log_p_val	organism	Category
3	23	0.127365379871067	48850	1254	31552		0.894948604765233	Human papillomavirus type 6	Human_viruses
0	13	0.603317453567339	15339	438	31684		0.219454110655182	Simian immunodeficiency virus agm.grivet (isolate AGM gr-1)	Non-human_viruses_that_do_not_infect_humans
0	33	0.835976836160443	39335	2220	31762		0.0778057561340362	Hepatitis delta virus genotype I (isolate D380)	Human_viruses
0	15	0.603317453567339	20642	504	329599		0.219454110655182	Influenza A virus	Human_viruses
8	175	0.603317453567339	281800	8125	333760		0.219454110655182	Human papillomavirus type 16	Human_viruses
7	111	0.199612547936362	168196	4544	333761		0.69981216180498	Human papillomavirus type 18	Human_viruses
3	29	0.354913943359195	53585	1667	333763		0.449876938367241	Human papillomavirus type 32	Human_viruses
4	95	0.603317453567339	128467	4765	333923		0.219454110655182	Human papillomavirus 5	Human_viruses
1	3	0.592553817056389	19748	517	337052		0.227272199935207	Bovine papillomavirus type 1	Non-human_viruses_that_do_not_infect_humans
1	104	0.603317453567339	129554	1925	33708		0.219454110655182	Murid herpesvirus 4	Non-human_viruses_that_do_not_infect_humans
0	40	0.756706821121265	36565	1040	363744		0.121072351189068	Influenza A virus	Human_viruses
1	15	0.603317453567339	18483	460	37122		0.219454110655182	Human papillomavirus type 6a	Human_viruses
0	6	0.603317453567339	10079	223	37296		0.219454110655182	Human herpesvirus 8	Human_viruses
0	2	0.603317453567339	11753	390	37959		0.219454110655182	Human papillomavirus 38	Human_viruses
0	24	0.625845974873402	24135	610	380337		0.203532536587031	Influenza A virus (strain A/Equine/Prague/1/1956 H7N7)	Human_viruses
4	25	0.0148684826532472	35718	994	381517	***	1.82773334949724	Influenza A virus (strain A/Udorn/307/1972 H3N2)	Human_viruses
3	66	0.603317453567339	91623	2512	381518		0.219454110655182	Influenza A virus (strain A/Wilson-Smith/1933 H1N1)	Human_viruses
0	4	0.603317453567339	13441	275	382835		0.219454110655182	Influenza A virus	Human_viruses
2	19	0.603317453567339	32437	1561	385599		0.219454110655182	Influenza A virus (strain A/Udorn/1972 H3N2)	Human_viruses
1	20	0.603317453567339	35505	339	392809		0.219454110655182	Influenza A virus (strain A/Victoria/3/1975 H3N2)	Human_viruses
0	39	0.759719595019603	38769	1200	402527		0.119346671938299	Influenza A virus (strain A/Chicken/Scotland/1959 H5N1)	Human_viruses
0	21	0.625845974873402	19027	575	442553		0.203532536587031	Influenza A virus	Human_viruses
0	18	0.603317453567339	16755	36	512345		0.219454110655182	Hepatitis E virus genotype 3 (isolate Swine/United States/swUS1)	Non-human_viruses_that_infect_humans
0	35	0.603317453567339	35348	21	512346		0.219454110655182	Hepatitis E virus genotype 1 (isolate Human/India/Hyderabad)	Human_viruses
0	35	0.720787614731007	37556	1000	644788		0.142192684432146	Influenza A virus	Human_viruses
0	4	0.603317453567339	9470	83	648242		0.219454110655182	Adeno-associated virus 2 (isolate Srivastava/1982)	Human_viruses
1	31	0.603317453567339	58758	2097	694009		0.219454110655182	Severe acute respiratory syndrome coronavirus	Non-human_viruses_that_infect_humans
4	100	0.603317453567339	148082	5046	82830		0.219454110655182	Epstein-Barr virus (strain AG876)	Human_viruses
1	36	0.603317453567339	54552	2389	868565		0.219454110655182	Human herpesvirus 8 type P (isolate GK18)	Human_viruses
0	32	0.770968066426201	34973	1454	928302		0.112963610097037	Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto/-)	Human_viruses
0	6	0.603317453567339	11884	249	997555		0.219454110655182	Influenza A virus	Human_viruses
