pair	NumResProt1	NumResProt2	AlignRate	DockQ_AFM	TMScore_AFM	RMSD_AFM	iRMSD_AFM	lRMSD_AFM	DockQ_ESM	TMScore_ESM	RMSD_ESM	iRMSD_ESM	lRMSD_ESM	DockQ_GD	TMScore_GD	RMSD_GD	iRMSD_GD	lRMSD_GD	DockQ_RD	TMScore_RD	RMSD_RD	iRMSD_RD	lRMSD_RD	DockQ_DD	TMScore_DD	RMSD_DD	iRMSD_DD	lRMSD_DD	DockQ_DDb	TMScore_DDb	RMSD_DDb	iRMSD_DDb	lRMSD_DDb	Domain	Date_after_train	AFM_Score	Ires_Precision	Ires_Recall
P12506_P27487	3	729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.993	0.58	6.622999999999999	38.403	0.018000000000000002	0.99025	0.8	8.797	51.501000000000005	0.001	0.99119	0.74	38.321	224.949	0.0	0.0	0.0	0.0	0.0	Viruses	False	0.506782325279928	0.0825687997643302	0.8999991000009
P24941_P89883	296	247	0.9890000000000001	0.546	0.9415100000000001	2.09	3.174	3.299	0.58	0.92661	2.33	2.269	3.964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011000000000000001	0.52717	0.65	13.595	57.662	Viruses	False	0.8962600571642201	0.6338027276334186	0.5172413198573196
P69905_Q6G8J7	140	144	0.727	0.044000000000000004	0.61163	3.34	13.16	23.033	0.008	0.48425	1.27	25.214000000000002	58.574	0.028999999999999998	0.51615	3.0	11.255999999999998	31.329	0.10800000000000001	0.5994	4.1	8.302999999999999	14.202	0.043	0.5384399999999999	3.49	12.522	23.566	0.046	0.57501	2.67	12.229000000000001	22.616	Bacteria	False	0.7991300802628896	0.1348314455245566	0.3870966493236615
P19508_Q9Y3Z3	98	19	1.0	0.002	0.59964	1.02	51.507	114.721	0.006999999999999999	0.30906	3.31	26.214000000000002	60.971000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.264	0.86279	0.89	4.015	9.118	Viruses	False	0.2579113759182707	0.0	0.0
P01892_Q90VU7	18	159	0.945	0.002	0.64703	1.83	46.721000000000004	116.59700000000001	0.004	0.23514000000000002	4.99	30.295	93.171	0.026000000000000002	0.68814	2.0	14.635	31.79	0.036000000000000004	0.7611899999999999	1.56	10.815999999999999	27.363000000000003	0.038	0.72807	1.7	12.479000000000001	25.706999999999997	0.19899999999999998	0.8971100000000001	0.68	5.631	13.075999999999999	Viruses	False	0.4805199516953662	0.0289855030455792	0.0624999804687561
P50750_P69697	311	49	1.0	0.021	0.8555299999999999	0.78	15.565	35.367	0.07	0.85103	1.6	4.117	26.544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.87459	0.95	11.839	30.029	Viruses	False	0.6050359469751604	0.0624999902343765	0.2857140816327988
P30460_Q9YRL8	276	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Viruses	False	0.2058423567375871	0.0322580541103051	0.0322580541103051
O43521_Q6VZT9	21	138	1.0	0.857	0.9854200000000001	0.67	0.9590000000000001	1.811	0.031	0.83083	1.14	12.809000000000001	28.988000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.188	0.90049	0.68	5.452999999999999	13.578	Viruses	False	0.8428720807371108	0.3974358464825838	0.9117644377163416
P01555_P62330	184	163	0.838	0.03	0.54382	3.32	14.745	29.083000000000002	0.009000000000000001	0.55486	3.46	17.987000000000002	59.845	0.009000000000000001	0.48502	2.29	18.44	57.181999999999995	0.024	0.5203899999999999	2.75	16.096	32.486	0.009000000000000001	0.48836999999999997	2.25	17.725	59.051	0.009000000000000001	0.5342899999999999	0.0	18.032	58.566	Bacteria	False	0.49557109383622	0.3947367382271741	0.3333332592592757
O60684_P31345	425	75	1.0	0.006999999999999999	0.84321	0.72	27.186999999999998	64.944	0.01	0.82919	1.38	19.033	52.953	0.016	0.8559399999999999	0.92	14.889000000000001	42.005	0.013000000000000001	0.8478	0.41	18.274	47.486999999999995	0.017	0.8542799999999999	0.67	15.682	40.816	0.027000000000000003	0.85535	0.61	13.062000000000001	36.983000000000004	Viruses	False	0.2456123581186761	0.0	0.0
P01730_Q993A8	181	298	0.9590000000000001	0.456	0.9297700000000001	1.8	7.303	5.565	0.006	0.36274	1.35	33.792	67.937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Viruses	False	0.7753974713713128	0.7659572838388757	0.6545453355372117
P03129_P28749	9	214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Viruses	False	0.5772206123197403	0.1509433677465343	0.8888879012356653
P01903_Q8NKX2	176	205	1.0	0.006	0.53259	0.5	15.075	87.649	0.006	0.37889	4.01	17.785	80.602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.52998	0.72	18.852	54.17	0.0	0.0	0.0	0.0	0.0	Bacteria	False	0.7144122405622642	0.0208333289930564	0.1111109876544581
P84243_Q1HVJ0	99	180	0.9940000000000001	0.003	0.61934	1.43	39.8	106.71700000000001	0.003	0.60555	1.74	36.775999999999996	103.056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013999999999999999	0.64987	0.91	14.312000000000001	46.794	Viruses	False	0.3434071043487029	0.0	0.0
O14763_Q6RJQ3	108	187	0.9440000000000001	0.11900000000000001	0.65805	1.87	7.7589999999999995	19.416	0.013000000000000001	0.39823000000000003	3.88	20.551	45.06	0.025	0.61854	2.18	18.453	41.453	0.018000000000000002	0.59277	1.48	17.588	45.093	0.013000000000000001	0.59142	0.99	17.504	45.961000000000006	0.023	0.6643899999999999	1.34	13.946	34.297	Viruses	False	0.4248859629655707	0.4912279839950905	0.4516128303850273
P35961_Q5EBM2	295	168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Viruses	False	0.3035101811389913	0.0181818148760336	0.0769230177515248
P04637_Q0TR53	8	577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.97293	0.81	1.656	4.49	0.0	0.0	0.0	0.0	0.0	Bacteria	False	0.4727673348163693	0.1090908892562019	0.3999997333335111
Q14116_Q9DHU8	148	115	0.971	0.937	0.9864799999999999	0.8	0.518	0.696	0.062	0.59738	2.28	7.739	20.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.63164	1.93	13.619000000000002	34.566	Viruses	False	0.8450422385968959	0.6415093129227711	0.7555553876543583
O60563_P69697	255	49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.87075	0.95	11.124	21.701999999999998	Viruses	False	0.6075032869021779	0.6753245876201834	0.6265059486137411
P02768_Q51911	575	53	1.0	0.006	0.9018200000000001	0.98	31.785	70.32	0.009000000000000001	0.8079	3.29	21.468000000000004	57.696999999999996	0.008	0.8741399999999999	1.9	22.641	59.521	0.024	0.7569	4.14	13.046	34.254	0.006999999999999999	0.8766799999999999	1.82	24.723000000000003	63.87	0.027000000000000003	0.78615	3.55	13.597000000000001	31.494	Bacteria	False	0.8014496636978776	0.1578947160664847	0.285714217687091
Q05059_Q92956	259	100	0.983	0.86	0.9586399999999999	1.52	0.637	3.859	0.006	0.44165	2.99	28.087	71.32300000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.72145	0.0	21.631999999999998	63.082	Viruses	False	0.654738423475206	0.7755100458142763	0.8444442567901651
P01903_P0A0L2	179	232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009000000000000001	0.5274399999999999	1.51	18.566	60.305	0.01	0.56553	0.0	20.236	53.95	Bacteria	False	0.275389423080713	0.0454545351239692	0.0666666444444518
I0AXC3_Q8TCD0	319	167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Viruses	False	0.5325247133724258	0.0408163182007513	0.1428570408163994
P03437_P13760	13	179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.90394	0.94	25.033	75.49	0.005	0.91279	0.78	26.713	80.801	0.027999999999999997	0.92115	0.59	11.165999999999999	31.861	0.02	0.9326399999999999	0.0	13.25	37.681	Viruses	False	0.2274271117402824	0.0	0.0
P61077_Q6RCR3	146	510	0.956	0.606	0.62166	2.64	0.615	27.916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.7742399999999999	0.0	14.818	74.857	Bacteria	False	0.7919769793804952	0.6451610822061026	0.7692304733728949
P13987_Q9LCB8	77	463	0.993	0.907	0.91705	2.57	0.5920000000000001	2.267	0.009000000000000001	0.65718	2.69	23.744	55.295	0.019	0.6775100000000001	2.86	15.870999999999999	37.667	0.022000000000000002	0.69017	2.95	13.1	35.789	0.022000000000000002	0.71521	3.22	16.035	34.143	0.017	0.85661	0.0	17.852	40.063	Bacteria	False	0.7289014884670533	0.5769229659763526	0.7894734764543483
B6DRA0_Q16630	218	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018000000000000002	0.8947799999999999	1.47	14.984000000000002	39.035	0.021	0.8983399999999999	1.44	14.052999999999999	36.21	0.034	0.90284	1.37	9.738	29.221	0.0	0.0	0.0	0.0	0.0	Viruses	False	0.3997544468488513	0.0	0.0
Q49DS8_Q6P5S8	134	188	0.7559999999999999	0.021	0.43828	3.11	10.81	39.514	0.012	0.30435	5.46	14.681	51.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.61263	1.82	9.863	45.812	Viruses	False	0.2807423292258506	0.0181818148760336	0.4999975000124999
P0CG47_P0DTD1	75	309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.23262	3.66	23.215	37.821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.80575	0.48	20.197	46.3	Viruses	True	-1.0	-1.0	-1.0
P60953_Q06277	191	300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.61339	1.79	12.995	33.381	0.065	0.63289	2.69	5.6339999999999995	22.035	0.0	0.0	0.0	0.0	0.0	0.07400000000000001	0.71783	2.7	10.524000000000001	20.695999999999998	Bacteria	False	-1.0	-1.0	-1.0
P04578_P18465	8	276	1.0	0.004	0.96304	0.6	21.962	108.905	0.01	0.6978300000000001	4.04	14.446	62.489	0.028999999999999998	0.95885	0.73	7.933	36.1	0.040999999999999995	0.9666299999999999	0.46	6.584	30.01	0.017	0.97034	0.24	10.347999999999999	47.287	0.0	0.0	0.0	0.0	0.0	Viruses	False	0.2653105806018364	0.4324323155588336	0.5517239476813973
P69332_P78423	293	68	1.0	0.857	0.95395	0.94	0.78	2.86	0.004	0.74746	1.6	27.781	90.59100000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.76232	0.68	27.208000000000002	81.167	Viruses	False	0.7307662706960729	0.3560605790863198	0.7833332027777995
P63208_Q5ZTL7	146	164	1.0	0.769	0.96098	1.44	1.385	2.095	0.013999999999999999	0.44809	1.99	14.72	46.952	0.012	0.39488	2.02	14.011	54.842	0.009000000000000001	0.36068	0.67	14.73	64.969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	False	0.8670866343641651	0.7083332349537174	0.7391303276622713
P05534_Q9WPV9	274	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Viruses	False	0.2481212837061247	0.0	0.0
Q99816_Q9IF21	144	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Viruses	False	0.3708170517227332	0.46428554846944703	0.5652171455577628
P16778_Q07812	21	192	0.8859999999999999	0.013000000000000001	0.69455	2.43	21.962	44.467	0.012	0.7593300000000001	2.23	17.267	49.316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Viruses	False	0.6632917548610366	0.1025640894148603	0.5714281632655976
A0A2R4LVT4_P52630	880	350	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013000000000000001	0.7401	1.58	23.7	45.547	Viruses	True	-1.0	-1.0	-1.0
P01903_P12495	180	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028999999999999998	0.9055799999999999	0.8	9.647	32.836	0.10800000000000001	0.9075799999999999	0.79	4.4639999999999995	15.872	0.122	0.91171	0.68	4.162	14.71	0.0	0.0	0.0	0.0	0.0	Viruses	False	0.43975500346127006	0.0983606396130098	0.1764705363321951
D3HJY4_P14784	157	3	0.96	0.005	0.82696	2.44	21.395	89.016	0.005	0.58148	3.29	20.802	84.425	0.042	0.94483	1.27	5.752000000000001	32.75	0.055999999999999994	0.96216	1.03	4.935	27.951	0.021	0.96391	1.01	8.202	46.95399999999999	0.0	0.0	0.0	0.0	0.0	Bacteria	True	0.7008031395221309	0.1320754467782176	0.6363630578517656
Q6N030_Q8Q7Z9	163	101	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.3535	2.48	19.833	60.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011000000000000001	0.58475	1.25	13.552999999999999	58.059	Viruses	False	0.5584543127137166	0.0	0.0
P08581_P25147	632	285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.6271899999999999	1.94	32.96	72.831	Bacteria	False	-1.0	-1.0	-1.0
P02788_Q54972	330	105	0.9079999999999999	0.341	0.8532700000000001	2.38	3.036	10.289000000000001	0.012	0.71604	1.82	20.734	47.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.7681600000000001	0.93	8.774	32.671	Bacteria	False	0.688449463980493	0.4905659451762367	0.4126983471907385
M4STU1_P62987	321	75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.127	0.8733	2.2	6.871	11.950999999999999	0.011000000000000001	0.78327	1.26	19.572	52.102	0.01	0.79455	1.0	22.83	53.718999999999994	0.011000000000000001	0.8096399999999999	0.0	19.125	52.666000000000004	Viruses	False	-1.0	-1.0	-1.0
P18010_P18206	46	258	1.0	0.006999999999999999	0.84725	2.01	29.97	61.18600000000001	0.017	0.7854800000000001	2.87	14.085	41.636	0.094	0.79197	2.73	6.817	15.275	0.011000000000000001	0.77104	2.64	20.873	49.229	0.009000000000000001	0.72636	3.05	19.846	58.178999999999995	0.276	0.8445	2.12	4.129	10.448	Bacteria	False	0.4888218397812963	0.7166665472222421	0.4831460131296614
P35961_Q6PIL8	287	203	0.9890000000000001	0.004	0.51072	2.29	24.639	99.12200000000001	0.008	0.39375	4.3	14.157	72.505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009000000000000001	0.4984	2.57	11.341	86.573	0.01	0.57202	1.3	18.438	54.276	Viruses	False	0.2820397120065211	0.1176469896194178	0.1249999218750488
P19551_Q6P5S8	283	188	0.9	0.006	0.52999	2.11	18.406	81.565	0.006999999999999999	0.326	4.53	12.186	107.838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.251	0.36338000000000004	0.12	0.8759999999999999	101.396	0.015	0.5775100000000001	0.62	7.974	84.988	Viruses	False	0.2885885250814975	0.0	0.0
O00629_P0C1C7	416	24	1.0	0.017	0.9372299999999999	0.71	10.905999999999999	45.588	0.022000000000000002	0.92619	1.1	9.652999999999999	40.787	0.349	0.9486100000000001	0.93	1.719	8.151	0.025	0.9405899999999999	0.88	8.161	41.035	0.016	0.93779	0.69	10.013	50.601000000000006	0.036000000000000004	0.9510799999999999	0.32	10.458	31.046	Viruses	False	0.5809413109106383	0.4342104691828329	0.4782608002520579
O00629_P0C1C6	416	26	1.0	0.027999999999999997	0.9317700000000001	0.92	8.459	35.556999999999995	0.018000000000000002	0.92705	1.09	10.649000000000001	44.828	0.12300000000000001	0.93553	0.82	3.78	18.605999999999998	0.735	0.94962	0.77	0.698	0.584	0.037000000000000005	0.9399700000000001	0.7	6.568	33.076	0.047	0.9460299999999999	0.51	10.533	31.256999999999998	Viruses	False	0.4436623408257658	0.0803571356823985	0.1249999826388913
A8CDU0_P04229	12	190	0.925	0.034	0.8731200000000001	1.37	10.911	28.119	0.033	0.6318699999999999	4.02	10.166	29.322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Viruses	False	0.2413277648385502	0.1384615171597666	0.310344720570786
P0CG48_Q6RCR1	76	829	0.8959999999999999	0.008	0.79504	3.48	23.237	61.042	0.021	0.5181899999999999	2.74	25.084	33.743	0.004	0.90348	0.69	36.492	88.447	0.008	0.7965800000000001	1.36	24.229	60.56100000000001	0.012	0.7984600000000001	1.31	19.493	47.343	0.006999999999999999	0.91264	0.4	24.334	66.536	Bacteria	False	0.4548745906429752	0.4482757847800371	0.2857142543171149
B7TQM6_X5DSL3	178	205	0.945	0.017	0.5443100000000001	1.89	19.653	39.031	0.032	0.43111000000000005	2.22	20.9	26.685	0.01	0.5182	0.95	14.556	61.648999999999994	0.018000000000000002	0.5342899999999999	1.61	12.385	41.875	0.006	0.51878	0.92	24.795	67.595	0.006999999999999999	0.53238	0.09	21.538	64.487	Bacteria	False	0.4094772134563672	0.0	0.0
P36711_P78310	185	123	1.0	0.872	0.97257	0.93	0.552	3.7689999999999997	0.02	0.37051	1.69	21.346	34.808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.6178	1.33	17.625	41.096000000000004	0.0	0.0	0.0	0.0	0.0	Viruses	False	0.5465617264258128	0.6749998312500421	0.6749998312500421
P01730_Q75760	175	336	0.9790000000000001	0.494	0.9249799999999999	2.17	7.577999999999999	3.22	0.003	0.33486	1.06	38.335	91.259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.54268	2.69	32.361999999999995	69.17699999999999	0.042	0.63325	2.46	7.9670000000000005	26.622	Viruses	False	0.6021988314437646	0.8409088997934318	0.5967740972945004
P00742_P23827	235	138	0.997	0.754	0.9649200000000001	1.4	1.2109999999999999	3.784	0.028999999999999998	0.65665	2.21	12.142000000000001	30.233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.64112	2.1	12.917	40.814	0.012	0.63146	0.65	21.253	48.101000000000006	Bacteria	False	0.7711773202397987	0.6170211453146499	0.6744184478096632
Q6P5S8_Q8Q7Z9	188	101	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.35623	3.05	25.366999999999997	81.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009000000000000001	0.60201	1.5	14.535	63.35	Viruses	False	0.6280955831842491	0.0	0.0
P04637_Q9WYW0	13	246	1.0	0.003	0.9418	0.61	39.461999999999996	96.37200000000001	0.012	0.9547	0.99	15.697000000000001	51.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.261	0.89725	1.71	4.473	14.583	0.32799999999999996	0.9737600000000001	0.57	2.676	9.061	Bacteria	False	0.6186426471035503	0.5121949970256104	0.5675674141709691
O52623_P60953	163	178	1.0	0.9209999999999999	0.9848600000000001	0.84	0.531	2.134	0.048	0.5594899999999999	3.12	16.242	24.796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.57362	2.67	16.085	26.319000000000003	Bacteria	False	0.8663366633713591	0.5411764069204227	0.5411764069204227
P62937_Q72497	165	146	1.0	0.7659999999999999	0.9157299999999999	2.01	1.148	5.145	0.009000000000000001	0.54343	0.39	12.708	76.12899999999999	0.23199999999999998	0.5734100000000001	1.95	4.32	27.435	0.026000000000000002	0.57184	2.34	12.811	32.754	0.396	0.5645899999999999	1.64	3.616	41.031000000000006	0.055	0.56257	1.58	4.129	38.092	Viruses	False	0.8149953093257906	0.6399997440001024	0.4848483379247461
Q16611_Q85295	25	127	0.9840000000000001	0.083	0.7890699999999999	1.49	7.61	16.476	0.049	0.80371	1.19	9.975	22.373	0.019	0.7467199999999999	1.42	15.567	37.832	0.011000000000000001	0.75084	1.33	20.236	49.181000000000004	0.044000000000000004	0.7609199999999999	1.15	11.489	23.665	0.019	0.8355299999999999	0.0	15.378	37.961	Viruses	False	0.4254362069217033	0.3404254594839447	0.4324323155588336
O43521_P0C6Z1	22	157	1.0	0.74	0.9573200000000001	1.02	1.5619999999999998	2.326	0.03	0.84378	0.97	13.231	29.504	0.027999999999999997	0.83578	1.33	12.456	31.028000000000002	0.025	0.83054	1.22	13.522	32.942	0.032	0.84196	1.28	12.347999999999999	28.354	0.08800000000000001	0.88754	0.61	9.65	19.808	Viruses	False	0.7529234983517092	0.4430379186027951	0.8536583283760174
