pair	NumResProt1	NumResProt2	DockQ_AFM	TMScore_AFM	RMSD_AFM	iRMSD_AFM	lRMSD_AFM	Date_after_train	AFM_Score	Ires_Precision	Ires_Recall
A0A2S4N3I3_P0AFA1	248	238	0.613	0.95856	1.67	1.678	3.835	True	0.7260047578593773	0.411764665513268	0.8235292502883822
A0A454A8B1_A0A454AA55	435	116	0.0	0.0	0.0	0.0	0.0	False	0.7592115499915397	0.526315734072028	0.5208332790798668
A4ISU9_A4ISV0	72	139	0.909	0.96876	1.01	0.511	2.204	False	0.8890410775817871	0.8656715125863413	0.9062498583984596
A4ISV0_A4ISV0	141	141	0.008	0.55566	2.27	15.636	69.458	False	0.1789438285105563	0.2608695085066285	0.3157893905817392
A6ND01_A6ND01	197	197	0.026	0.54437	3.16	12.248	32.848	False	0.232878072283695	0.5294116089965856	0.103448269916766
A7MB62_Q3SYX9	377	143	0.811	0.91674	2.08	0.587	6.01	False	0.7290923081815415	0.966666344444552	0.7249998187500453
A7ZQT6_A7ZU14	158	274	0.86	0.94232	1.85	0.37	4.798	False	0.8384310630190661	0.777777561728455	0.933333022222326
B1MD68_B1MD69	75	87	0.916	0.98029	0.65	0.659	0.772	False	0.8417132530710294	0.9473682963989084	0.6153845627876442
B7I7B6_B7IA32	97	137	0.794	0.94237	1.48	0.983	2.503	False	0.1706350643580884	0.9999995652175804	0.8846150443788291
B7IA20_B7IA38	146	200	0.426	0.62935	2.6	1.9	50.33	False	0.6786173989393335	0.9999995652175804	0.9199996320001472
B7MCS7_B7MCT3	63	93	0.0	0.0	0.0	0.0	0.0	False	0.4038100651370371	0.6428569132653881	0.7499996875001302
B7MH73_B7MLH6	274	159	0.932	0.97816	1.09	0.554	2.135	False	0.866927280634076	0.7894734764543483	0.8333331018519161
B7MKV8_B7MKV9	119	130	0.892	0.93583	1.44	0.731	2.419	False	0.5003853752185146	0.9809522875283536	0.9449540417473355
B7UI37_B7UI37	350	350	0.753	0.97652	1.51	1.485	1.585	False	0.5190378281461723	0.5781249819335944	0.4404761799886624
C0MHR2_F1S398	818	125	0.0	0.0	0.0	0.0	0.0	True	0.4997664372522332	0.8454544685950482	0.563636329476586
C5DFJ6_C5DFJ6	408	408	0.709	0.86328	3.9	0.866	8.546	False	0.5757652567880287	0.981651286087038	0.9385964088950518
C6BHF2_C6BHF3	118	123	0.904	0.98604	0.67	0.638	1.186	False	0.1602852695360319	0.9090907024793856	0.6451611862643247
C6BHF3_C6BHF3	123	123	0.911	0.99006	0.59	0.551	1.004	False	0.7869652886853014	0.9599998080000384	0.7272726170799064
C9WU77_Q91RS4	19	178	0.608	0.95312	0.94	1.518	10.611	False	0.8628278430653327	0.6578946502770197	0.8333331944444675
C9ZT91_D0A511	279	257	0.0	0.0	0.0	0.0	0.0	False	0.8241177955038137	0.8308457298086701	0.9382021944830228
D0A0S6_D0A511	202	257	0.0	0.0	0.0	0.0	0.0	False	0.1943776286948488	0.5633802023408165	0.5797100609115854
D3UJ81_D3UJ81	225	225	0.618	0.54553	3.63	0.714	18.35	False	0.4044335900558047	0.866666377777874	0.4814813923182606
D7ZAN1_D7ZES9	151	127	0.0	0.0	0.0	0.0	0.0	False	0.1375407504591183	0.6666663888890046	0.6153843786983159
E8RUP5_E8RUP8	651	18	0.282	0.98079	0.48	2.858	8.593	False	0.5311116479773941	0.3571428146258554	0.697674256354824
E9BP34_E9BRQ6	133	94	0.0	0.0	0.0	0.0	0.0	False	0.1897192724788377	0.8399996640001344	0.8076919970415396
E9BP34_E9BUA1	133	126	0.0	0.0	0.0	0.0	0.0	False	0.8116457794259855	0.9393936547291954	0.9117644377163416
F1S9B7_F1STE5	97	118	0.0	0.0	0.0	0.0	0.0	False	0.5837700892630062	0.839285564413292	0.9038459800296192
G1SE28_G1TL06	121	398	0.0	0.0	0.0	0.0	0.0	False	0.6930339368432814	0.9210523891967396	0.7777776049383099
G1SNY0_G1TX70	147	172	0.0	0.0	0.0	0.0	0.0	False	0.4741530386795001	0.8958331467014277	0.8269229178994388
G1STW0_G1TT27	241	206	0.0	0.0	0.0	0.0	0.0	False	0.2163176178918654	0.4999975000124999	0.0476190249433214
G1SY53_G1TT27	91	206	0.0	0.0	0.0	0.0	0.0	False	0.7993862633919456	0.9841268279163764	0.7045453744834802
G5ECF1_G5EF47	399	391	0.949	0.99457	0.72	0.481	1.269	False	0.7536811747848133	0.9047617611489268	0.6867469052112162
I1RCT2_I1RE19	692	125	0.015	0.84408	0.61	19.887	42.154	True	0.7738835751880899	0.1372548885044227	0.2499999553571508
J3KPF3_Q01650	471	464	0.684	0.97331	1.7	1.702	2.917	True	0.7974508053179905	0.9058822463667944	0.8279569002196882
J9PBS1_J9PBS1	206	206	0.872	0.98534	0.91	0.822	1.404	False	0.8532323608656719	0.8983049324906893	0.6973683292936409
L0R8F8_Q96EH3	69	111	0.74	0.94353	1.41	1.428	2.451	False	0.8615100375653655	0.9512192801904192	0.8124998307292018
L7MTK2_Q06848	63	142	0.955	0.99672	0.31	0.312	0.486	False	0.8433092186383238	0.954545237603355	0.9767439588967536
M9TI86_M9TLW3	515	685	0.0	0.0	0.0	0.0	0.0	False	0.9290633025767272	0.8157894498307179	0.8254437625608355
O04197_O04197	568	568	0.015	0.54537	3.42	13.556	45.364	False	0.6226987283841007	0.0	0.0
O19705_O19712	180	181	0.959	0.99317	0.62	0.489	0.679	True	0.8612642905700375	0.6379309978200576	0.9568964692330628
O26068_O26069	170	183	0.901	0.9881	0.8	0.715	1.66	False	0.7991893780494249	0.3113207400320406	0.8048779506246402
O29432_O29432	134	134	0.868	0.98816	0.69	0.725	1.35	False	0.8649666823492443	0.9512192801904192	0.4333332851851905
O31539_O31539	208	208	0.103	0.65076	4.29	7.635	13.96	True	0.4064622088819485	0.9374998046875408	0.3308823286115935
O34687_P42060	55	112	0.803	0.92513	1.36	1.227	4.11	False	0.5239008217196501	0.9615380917161186	0.7812497558594512
O43148_O43148	310	310	0.871	0.97976	1.33	0.552	2.565	False	0.6397892867318241	0.7948715910585663	0.2672413562722969
O48448_O48449	133	161	0.017	0.31936	4.41	19.405	38.98	False	0.1835201241128514	0.3333327777787037	0.0317460267069798
O57883_O57883	235	235	0.944	0.98817	0.69	0.459	0.927	False	0.9291647650546716	0.9999997368421744	0.8636361673554165
O60486_O75326	473	588	0.0	0.0	0.0	0.0	0.0	False	0.6891298183230793	0.8958331467014277	0.8269229178994388
O68690_O68691	112	38	0.244	0.92546	1.37	9.243	18.706	False	0.2097495690195182	0.6349205341395977	0.7272725950413463
O95970_Q9P0K1	512	486	0.872	0.9832	1.32	0.574	3.233	False	0.7320822039218764	0.7499999013158024	0.4222221909465043
P00437_P00437	238	238	0.983	0.99862	0.29	0.258	0.552	False	0.941435440211139	0.9999998484848714	0.4647886996627676
P00445_P00445	153	153	0.978	0.99878	0.22	0.243	0.26	False	0.9519480649077716	0.9999997368421744	0.4042552761430557
P00445_P40202	152	243	0.761	0.9534	1.09	1.564	1.461	False	0.9263500507755243	0.9230767810651106	0.6896550931430927
P01374_P01374	138	138	0.579	0.95907	1.25	5.103	4.316	False	0.7055500660602079	0.8775508413161548	0.5243901799524171
P02753_P02753	175	175	0.009	0.49287	0.89	19.057	58.112	False	0.2838232563791142	0.0	0.0
P02968_P39739	260	112	0.784	0.93135	1.75	1.282	1.731	False	0.8401101069841627	0.8974358207319811	0.9292034575926144
P02994_P32471	442	93	0.704	0.96052	1.8	1.642	1.013	False	0.8117517732307638	0.6129031763787761	0.8735631179812507
P03902_Q02379	95	89	0.135	0.61207	4.1	4.671	17.446	False	0.13852572581778	0.619047324263179	0.4482757074911354
P04141_P04141	121	121	0.037	0.51691	2.41	15.208	38.67	False	0.1277912877226806	0.8333331018519161	0.3191489022182018
P04377_P38501	123	336	0.0	0.0	0.0	0.0	0.0	False	0.8160926557130685	0.7666664111111963	0.5749998562500359
P06451_P31853	223	143	0.295	0.72856	4.22	3.512	17.595	False	0.5986479953449493	0.939393797061546	0.5636363123966989
P06535_P06628	182	118	0.84	0.97495	1.02	0.877	2.303	False	0.8666068440225534	0.9782606568998572	0.5624999296875087
P06628_Q59HN8	116	365	0.009	0.57809	3.23	20.546	58.293	False	0.3796539041192815	0.4062498730469146	0.2407406961591303
P06703_P06703	89	89	0.889	0.97905	0.78	0.86	1.361	False	0.1769654235958031	0.9420288489813262	0.9285712959183864
P06730_Q13541	191	37	0.93	0.9871	0.62	0.453	0.713	False	0.7896231005688694	0.7624999046875118	0.8356163238881748
P07753_P37256	336	30	0.017	0.89626	1.03	21.588	38.033	False	0.6198480539159792	0.2727271900826696	0.2903224869927461
P08195_Q01650	451	403	0.802	0.96161	2.05	1.126	3.583	True	0.8013138709866859	0.40449433657367	0.9230766863905931
P09385_P09386	283	70	0.143	0.84352	2.11	7.736	13.387	False	0.2848959746699622	0.9166662847223814	0.3666666055555657
P09787_P09788	75	515	0.949	0.99746	0.43	0.468	0.575	False	0.9223038982324728	0.9423075110947092	0.9423075110947092
P09884_Q14181	1056	448	0.775	0.96304	2.46	1.109	3.881	False	0.7405019847449158	0.8721803855503469	0.5446009133990182
P0A7R6_P0A7X4	99	127	0.0	0.0	0.0	0.0	0.0	False	0.1498494608846473	0.3888886728396262	0.3684208587258638
P0AAJ3_P0AEK7	289	216	0.861	0.98206	1.17	0.892	2.076	False	0.8841597227282618	0.9010988020770548	0.94252862729556
P0ACB0_P0AEF0	445	239	0.669	0.86845	3.51	1.516	5.941	True	0.6646551697240827	0.9718308490379084	0.6764705219146547
P0AEF0_P0AEF0	239	239	0.012	0.42465	3.16	17.244	48.52	True	0.270387578112054	0.1904761602418793	0.1052631486611273
P0C5Y7_Q0E7J7	101	136	0.817	0.96415	0.99	1.026	1.972	False	0.8674915982427269	0.799999840000032	0.8888886913580685
P12734_P14123	95	186	0.539	0.91952	2.0	2.534	6.231	False	0.1363541882531048	0.933333022222326	0.8235291695502441
P12873_P42924	65	95	0.762	0.89838	1.61	1.068	3.816	False	0.4208986109388806	0.9999995652175804	0.5897434385273234
P14821_P14822	147	146	0.944	0.99401	0.51	0.485	1.181	False	0.947407231015624	0.9615382766272544	0.5681817536157098
P15498_P63000	372	164	0.006	0.62319	2.84	24.109	73.214	False	0.430847264555093	0.3714284653061527	0.2452829725881183
P16791_P16794	163	224	0.76	0.97007	1.43	1.092	1.885	False	0.6123028801091527	0.62385315377494	0.8717947600263127
P23909_P23909	830	830	0.413	0.9086	3.3	5.849	8.761	False	0.765913418744992	0.8051470292225358	0.5069444327096196
P25084_Q9I494	166	94	0.778	0.95149	1.25	0.914	3.012	False	0.5156752358239424	0.8888886419753772	0.4155843616124205
P25144_P25144	331	331	0.888	0.98618	1.1	0.855	1.173	False	0.8921848988791463	0.929824479839958	0.929824479839958
P28007_P33322	92	364	0.933	0.99474	0.58	0.538	0.802	False	0.7070504692536148	0.880952171201864	0.9024388042832184
P29965_P29965	143	143	0.899	0.99247	0.54	0.623	1.032	False	0.5086555314654297	0.9791664626736536	0.3309858921840921
P33176_P33176	318	318	0.0	0.0	0.0	0.0	0.0	False	0.4171054116456384	0.0142180091417533	0.0285714272108844
P34232_P34232	165	165	0.01	0.47835	1.45	19.325	53.82	False	0.4505686161115688	0.0975609518144019	0.0499999937500007
P34661_Q94218	83	542	0.866	0.99415	0.68	0.689	1.472	False	0.8722262922741645	0.9374998046875408	0.6521738185255335
P35625_P78536	121	254	0.69	0.96262	1.45	1.306	3.429	False	0.5357816755962813	0.3786407399377922	0.7799998440000312
P38874_Q04868	227	272	0.83	0.9729	1.53	1.172	1.428	False	0.8745218576739476	0.9295773338623472	0.8249998968750129
P39729_P39729	363	363	0.043	0.57177	4.24	12.027	36.888	False	0.2438835158526676	0.6382977365323964	0.441176405709352
P39729_Q12000	363	106	0.847	0.95399	1.79	1.098	1.721	False	0.7722108836437608	0.7962962471422069	0.9020978390141372
P39739_P39739	108	108	0.88	0.97275	0.92	0.921	0.951	False	0.8180361786221506	0.8368793732709664	0.9516128264828364
P40571_P53833	128	175	0.639	0.89152	2.2	2.306	2.902	False	0.8305086493442473	0.7606836956680602	0.8725489340638299
P43528_P43528	221	221	0.0	0.0	0.0	0.0	0.0	False	0.7598232886861431	0.3958332508680727	0.1979166460503493
P47736_P47736	338	338	0.786	0.98712	1.1	1.504	1.498	False	0.5740861902232142	0.9629627846365212	0.4193548048907415
P47736_P61224	337	167	0.904	0.98176	1.15	0.636	1.38	False	0.8485220828756109	0.6506023312527311	0.6136362939049665
P49642_P49642	399	399	0.03	0.60444	4.22	18.14	28.101	False	0.4235642029258518	0.6451611862643247	0.2439024241522912
P49785_P71044	115	158	0.886	0.98056	0.83	0.805	1.963	False	0.5853530880315804	0.6964284470663487	0.7799998440000312
P52306_P52306	469	469	0.025	0.55716	3.66	20.96	31.227	False	-1.0	-1.0	-1.0
P53990_Q7LBR1	182	159	0.0	0.0	0.0	0.0	0.0	False	0.4000913995791846	0.2093022769064472	0.1764705536332247
P54274_P54274	205	205	0.938	0.97849	1.12	0.462	2.125	False	0.5670012285355562	0.4413792799048772	0.9411763321799512
P54274_Q9UKT5	203	184	0.023	0.54379	2.15	17.508	32.877	False	0.2147064851852139	0.3749998437500651	0.2647058044982928
P56779_P62095	71	29	0.604	0.63429	2.38	2.018	7.144	False	0.2148406556877655	0.7428569306123055	0.8965514149822708
P60490_Q5SHP8	140	122	0.0	0.0	0.0	0.0	0.0	False	0.8298764509914106	0.9999997222222992	0.5070421821067349
P61358_P62889	134	97	0.0	0.0	0.0	0.0	0.0	False	0.2052901996517577	0.7307689497042501	0.8636359710745586
P61586_Q7Z628	173	332	0.832	0.97854	1.28	1.079	2.136	False	0.8824552248263209	0.7244897219908447	0.8068180901343079
P61957_Q9JJX7	76	253	0.012	0.76292	0.65	19.034	47.68	False	0.6977131484392622	0.285714217687091	0.2068965160523248
P62652_Q72I09	59	113	0.0	0.0	0.0	0.0	0.0	False	0.7471470234788775	0.8709674609782384	0.6279068307193416
P63208_Q9UKT7	130	394	0.695	0.94602	2.02	1.551	4.75	False	0.9102614243519423	0.7386362797004228	0.9558822123702628
P68106_P68106	105	105	0.037	0.55906	2.65	12.966	25.827	False	0.4719916152555155	0.9166662847223814	0.2894736461218886
P69346_P69346	83	83	0.672	0.79925	1.79	1.646	5.343	False	0.17368335032741	0.799999885714302	0.8484847199265575
P69346_P69348	83	84	0.934	0.95777	0.79	0.461	1.754	False	0.2270966165488479	0.971428432653081	0.9444443132716231
P72178_P72178	389	389	0.981	0.99922	0.27	0.264	0.636	False	0.9008734608091372	0.8823528939918238	0.9705881782006954
P82248_Q9LWB5	101	96	0.55	0.90139	1.62	3.483	3.315	False	0.5859490993865626	0.8999997750000561	0.6545453355372117
P82251_Q07837	458	623	0.734	0.96186	2.23	1.403	4.645	True	0.8505071938811964	0.6260162092669749	0.9390242757287468
P94951_P94951	282	282	0.97	0.99789	0.39	0.338	0.461	False	0.9632563195851702	0.9999999224806262	0.5078739957529923
P9WGZ1_P9WGZ1	236	236	0.676	0.91778	2.41	1.827	4.613	False	0.8060326686658539	0.962616732465726	0.6688311254005762
Q03PY5_Q03PY7	276	241	0.604	0.91373	2.6	1.729	5.838	False	0.8033474210832963	0.8524588766460858	0.8124998730468947
Q05195_Q05195	77	77	0.013	0.45816	1.72	12.864	52.02	False	0.3305211762161024	0.0701754324407515	0.3333331944445023
Q05753_Q9SQK3	192	199	0.749	0.97889	1.13	1.535	1.868	True	0.6322590382819319	0.962121139233247	0.900709155978074
Q06530_Q06530	398	398	0.006	0.49711	0.77	25.653	73.679	False	0.5978917432720144	0.0	0.0
Q09065_Q09065	231	231	0.955	0.99131	0.72	0.514	0.823	False	0.8380171399090298	0.9677417793964872	0.3749999765625014
Q0VGL1_Q0VGL1	93	93	0.039	0.41039	2.36	4.854	47.379	False	0.7698638906904005	0.3333332716049497	0.2903225338189461
Q13162_Q9BS26	179	323	0.042	0.58713	3.33	16.178	23.435	False	0.4901872578545713	0.2432431775018439	0.1874999609375081
Q1PVE0_Q1PVE1	506	220	0.005	0.69661	0.21	24.617	79.906	True	0.8327133171239189	0.0833333101851916	0.1111110699588629
Q22WU7_Q234G5	192	67	0.0	0.0	0.0	0.0	0.0	False	0.8347112468151695	0.7288134357943329	0.8599998280000344
Q2FW08_Q2FW14	90	65	0.824	0.91437	1.49	1.018	2.866	False	0.4319394125812233	0.9565213232515986	0.6666664646465258
Q2FW12_Q2FW19	208	60	0.719	0.94864	1.38	1.283	2.919	False	0.672187207596674	0.9499997625000594	0.7307690902367133
Q38784_Q38789	105	101	0.881	0.97486	0.92	0.845	1.407	False	0.5924370106213024	0.3953487912385126	0.4594593973703517
Q388D3_Q580K6	224	129	0.0	0.0	0.0	0.0	0.0	False	0.7274891325226425	0.7777774897120409	0.8399996640001344
Q39TV9_Q39TV9	171	171	0.349	0.86413	1.73	8.156	10.259	False	0.820937084347886	0.9449540417473355	0.5786516528847386
Q3UI43_Q8K3W0	239	383	0.354	0.65469	5.73	4.321	16.002	False	0.7897896804434872	0.953124851074242	0.7530863267794659
Q4DAV9_Q4DPQ8	85	245	0.0	0.0	0.0	0.0	0.0	False	0.8183884542966348	0.8805968834930025	0.9365077878559066
Q4E078_Q4E4R0	61	127	0.0	0.0	0.0	0.0	0.0	False	0.1608984166353924	0.9642853698980822	0.8999997000001
Q4KCY5_Q4KCZ1	495	75	0.438	0.90371	2.46	2.837	7.979	True	0.8576321999846866	0.6153844970414428	0.7619045804989093
Q5JDH2_Q5JDM6	237	84	0.0	0.0	0.0	0.0	0.0	False	0.8572801082816796	0.8923075550296069	0.9062498583984596
Q5JGR3_Q5JH43	121	193	0.0	0.0	0.0	0.0	0.0	False	0.8489118091451939	0.8124997460938292	0.962962606310146
Q5SKA7_Q5SLP6	593	134	0.0	0.0	0.0	0.0	0.0	False	0.6739278028769129	0.2916666059027904	0.5599997760000897
Q5U923_Q5U923	375	375	0.008	0.49982	0.52	24.081	59.767	False	0.9173709796244836	0.0	0.0
Q5U923_Q5U924	375	401	0.936	0.99396	0.75	0.52	1.216	False	0.9386814494523068	0.952380839002281	0.8695651228733562
Q5ZUA2_Q5ZUA2	357	357	0.968	0.99608	0.61	0.378	1.009	False	0.893894253204409	0.999999870129887	0.4873417413074847
Q6CRN7_Q6CVQ9	198	211	0.95	0.99668	0.39	0.36	2.087	False	0.7450263320050874	0.612903192854667	0.8201438258889334
Q6CS71_Q6CW41	222	360	0.0	0.0	0.0	0.0	0.0	False	0.6923578126081728	0.8999997750000561	0.6206895481569744
Q6P3S1_Q6P3S1	361	361	0.005	0.50785	0.88	26.918	78.397	False	0.3358337214948947	0.0	0.0
Q7DN95_Q9ST12	400	55	0.0	0.0	0.0	0.0	0.0	False	0.6867402071505029	0.7560973765616155	0.5254236397587051
Q7SIF0_Q7SIF1	234	254	0.659	0.95237	1.88	1.536	3.711	False	0.8525677415888027	0.909090771349883	0.869565091367378
Q87KD2_Q87TN7	457	481	0.87	0.97242	1.8	0.672	4.152	False	0.6940320316753563	0.99999960000016	0.4385964142813308
Q8A5H6_Q8A5H7	480	212	0.005	0.67683	0.6	21.583	88.92	False	0.7443526685357559	0.2063491735953692	0.464285548469447
Q8DGB4_Q8DGB4	151	151	0.032	0.52325	2.06	12.947	28.208	False	0.2056367387257653	0.4705880968858538	0.1818181611570271
Q8PJX9_Q8PND9	262	98	0.011	0.71311	1.21	23.688	49.725	False	0.636374571668616	0.031249990234378	0.0147058801903117
Q8TDX7_Q96P20	167	794	0.003	0.73112	3.77	48.435	98.644	True	0.4102562445419864	0.2258063787721358	0.0744680771842471
Q8TTZ3_Q8TTZ4	348	248	0.617	0.82467	2.45	0.926	17.079	False	0.8090261964137411	0.7906974905354672	0.8717946482577824
Q8TTZ4_Q8TTZ4	248	248	0.84	0.98374	1.02	0.995	1.67	False	0.9002062904670011	0.8651684907208713	0.9506172252705416
Q8Y8K9_Q92DC5	123	118	0.0	0.0	0.0	0.0	0.0	False	0.7735053001676366	0.7575755280074157	0.2717391008979238
Q8YZH5_Q9L422	86	112	0.549	0.86702	2.27	2.423	5.025	False	0.3140162267689976	0.536585234979211	0.8148145130316619
Q93WI9_Q93WI9	162	162	0.043	0.56618	3.28	14.254	23.105	False	0.6451749683882317	0.5714283673470116	0.1860464899945941
Q9CFW7_Q9CFW8	262	306	0.925	0.99784	0.4	0.484	0.665	False	0.9333455857773212	0.9552237380263076	0.7804877096966207
Q9HD34_Q9HD34	82	82	0.416	0.59648	3.71	2.11	13.743	False	0.1946566879005186	0.6399997440001024	0.4999998437500488
Q9LCU9_Q9LCU9	112	112	0.02	0.48762	0.81	16.16	36.802	False	0.2600241604146467	0.1632652728030055	0.1052631440443231
Q9NTG7_Q9NTG7	274	274	0.173	0.5866	4.19	5.628	23.07	False	0.3971136783229527	0.7096771904267127	0.071428569109462
Q9X0A3_Q9X0A3	133	133	0.801	0.97989	0.48	1.392	1.959	False	0.9330721308497072	0.99999980000004	0.6756755843681642
Q9YBQ2_Q9YBQ2	579	579	0.945	0.99674	0.64	0.47	1.94	False	0.961353525620126	0.9999998461538696	0.2777777659069331
R4P353_R4P353	724	724	0.016	0.56945	3.35	15.157	42.374	False	0.3882981158660811	0.8749997265625854	0.0985915458242413
U3PYM0_U3PYM0	181	181	0.005	0.44562	0.83	27.54	74.243	False	0.6418885052321924	0.0322580619146724	0.0769230621301803
