"Dice_index"	"Hu_Prot"	"Vir_prot_1"	"Vir_prot_2"	"Vir_prot_1_Type"	"Vir_prot_2_Type"	"Comparison_type"
0.485714285714286	"Q8NHL6"	"M0QVI9"	"Q8BEL4"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.169491525423729	"Q8NHL6"	"M0QVV7"	"P03203"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.166666666666667	"Q8NHL6"	"M0QVV7"	"P35961"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.536585365853659	"Q8NHL6"	"M0QVV7"	"Q8BEL4"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8NHL6"	"P03203"	"P35961"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.0714285714285714	"Q8NHL6"	"P03203"	"Q8BEL4"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.19047619047619	"Q8NHL6"	"P35961"	"Q8BEL4"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.05	"Q8NI38"	"Q2KRY7"	"Q6VGT1"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.111111111111111	"Q8TD31"	"A6YJF2"	"P03120"	">=1e-04"	"<1e-04"	">=1e-04:<1e-04"
0.870967741935484	"Q8TD31"	"A6YJF2"	"P03508"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.929577464788732	"Q8TD31"	"A6YJF2"	"Q0A2H1"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.939393939393939	"Q8TD31"	"A6YJF2"	"Q20MH4"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.866666666666667	"Q8TD31"	"A6YJF2"	"Q20P38"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.318181818181818	"Q8TD31"	"A6YJF2"	"Q2KRY7"	">=1e-04"	"<1e-04"	">=1e-04:<1e-04"
1	"Q8TD31"	"A6YJF2"	"Q2PJP1"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.920634920634921	"Q8TD31"	"A6YJF2"	"Q6DP94"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.162162162162162	"Q8TD31"	"A6YJF2"	"Q8JSN5"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.833333333333333	"Q8TD31"	"A6YJF2"	"R9WKI0"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.133333333333333	"Q8TD31"	"P03120"	"P03508"	"<1e-04"	">=1e-04"	">=1e-04:<1e-04"
0.102564102564103	"Q8TD31"	"P03120"	"Q0A2H1"	"<1e-04"	">=1e-04"	">=1e-04:<1e-04"
0.117647058823529	"Q8TD31"	"P03120"	"Q20MH4"	"<1e-04"	">=1e-04"	">=1e-04:<1e-04"
0.142857142857143	"Q8TD31"	"P03120"	"Q20P38"	"<1e-04"	">=1e-04"	">=1e-04:<1e-04"
0.333333333333333	"Q8TD31"	"P03120"	"Q2KRY7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.111111111111111	"Q8TD31"	"P03120"	"Q2PJP1"	"<1e-04"	">=1e-04"	">=1e-04:<1e-04"
0.129032258064516	"Q8TD31"	"P03120"	"Q6DP94"	"<1e-04"	">=1e-04"	">=1e-04:<1e-04"
0	"Q8TD31"	"P03120"	"Q8JSN5"	"<1e-04"	">=1e-04"	">=1e-04:<1e-04"
0.142857142857143	"Q8TD31"	"P03120"	"R9WKI0"	"<1e-04"	">=1e-04"	">=1e-04:<1e-04"
0.830769230769231	"Q8TD31"	"P03508"	"Q0A2H1"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.9	"Q8TD31"	"P03508"	"Q20MH4"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.888888888888889	"Q8TD31"	"P03508"	"Q20P38"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.368421052631579	"Q8TD31"	"P03508"	"Q2KRY7"	">=1e-04"	"<1e-04"	">=1e-04:<1e-04"
0.870967741935484	"Q8TD31"	"P03508"	"Q2PJP1"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.842105263157895	"Q8TD31"	"P03508"	"Q6DP94"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.193548387096774	"Q8TD31"	"P03508"	"Q8JSN5"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.962962962962963	"Q8TD31"	"P03508"	"R9WKI0"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.898550724637681	"Q8TD31"	"Q0A2H1"	"Q20MH4"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.793650793650794	"Q8TD31"	"Q0A2H1"	"Q20P38"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.297872340425532	"Q8TD31"	"Q0A2H1"	"Q2KRY7"	">=1e-04"	"<1e-04"	">=1e-04:<1e-04"
0.929577464788732	"Q8TD31"	"Q0A2H1"	"Q2PJP1"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.848484848484849	"Q8TD31"	"Q0A2H1"	"Q6DP94"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.15	"Q8TD31"	"Q0A2H1"	"Q8JSN5"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.793650793650794	"Q8TD31"	"Q0A2H1"	"R9WKI0"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.862068965517241	"Q8TD31"	"Q20MH4"	"Q20P38"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.333333333333333	"Q8TD31"	"Q20MH4"	"Q2KRY7"	">=1e-04"	"<1e-04"	">=1e-04:<1e-04"
0.939393939393939	"Q8TD31"	"Q20MH4"	"Q2PJP1"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.885245901639344	"Q8TD31"	"Q20MH4"	"Q6DP94"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.171428571428571	"Q8TD31"	"Q20MH4"	"Q8JSN5"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.862068965517241	"Q8TD31"	"Q20MH4"	"R9WKI0"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.388888888888889	"Q8TD31"	"Q20P38"	"Q2KRY7"	">=1e-04"	"<1e-04"	">=1e-04:<1e-04"
0.866666666666667	"Q8TD31"	"Q20P38"	"Q2PJP1"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.909090909090909	"Q8TD31"	"Q20P38"	"Q6DP94"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.206896551724138	"Q8TD31"	"Q20P38"	"Q8JSN5"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.884615384615385	"Q8TD31"	"Q20P38"	"R9WKI0"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.318181818181818	"Q8TD31"	"Q2KRY7"	"Q2PJP1"	"<1e-04"	">=1e-04"	">=1e-04:<1e-04"
0.358974358974359	"Q8TD31"	"Q2KRY7"	"Q6DP94"	"<1e-04"	">=1e-04"	">=1e-04:<1e-04"
0.153846153846154	"Q8TD31"	"Q2KRY7"	"Q8JSN5"	"<1e-04"	">=1e-04"	">=1e-04:<1e-04"
0.388888888888889	"Q8TD31"	"Q2KRY7"	"R9WKI0"	"<1e-04"	">=1e-04"	">=1e-04:<1e-04"
0.920634920634921	"Q8TD31"	"Q2PJP1"	"Q6DP94"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.162162162162162	"Q8TD31"	"Q2PJP1"	"Q8JSN5"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.833333333333333	"Q8TD31"	"Q2PJP1"	"R9WKI0"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.1875	"Q8TD31"	"Q6DP94"	"Q8JSN5"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.8	"Q8TD31"	"Q6DP94"	"R9WKI0"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.206896551724138	"Q8TD31"	"Q8JSN5"	"R9WKI0"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.470588235294118	"Q8TDQ0"	"P0DTD8"	"Q98822"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.580645161290323	"Q8WWY3"	"P03120"	"P04020"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8WWY3"	"P03120"	"P04618"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.242424242424242	"Q8WWY3"	"P03120"	"P06422"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.722222222222222	"Q8WWY3"	"P03120"	"P06423"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8WWY3"	"P03120"	"P06428"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.666666666666667	"Q8WWY3"	"P03120"	"P06790"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8WWY3"	"P03120"	"P06921"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8WWY3"	"P03120"	"P36780"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.111111111111111	"Q8WWY3"	"P03120"	"Q2KRY7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8WWY3"	"P04020"	"P04618"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.5	"Q8WWY3"	"P04020"	"P06422"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.518518518518518	"Q8WWY3"	"P04020"	"P06423"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.181818181818182	"Q8WWY3"	"P04020"	"P06428"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.583333333333333	"Q8WWY3"	"P04020"	"P06790"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8WWY3"	"P04020"	"P06921"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8WWY3"	"P04020"	"P36780"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.296296296296296	"Q8WWY3"	"P04020"	"Q2KRY7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.260869565217391	"Q8WWY3"	"P04618"	"P06422"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.0769230769230769	"Q8WWY3"	"P04618"	"P06423"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.476190476190476	"Q8WWY3"	"P04618"	"P06428"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8WWY3"	"P04618"	"P06790"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.631578947368421	"Q8WWY3"	"P04618"	"P06921"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.461538461538462	"Q8WWY3"	"P04618"	"P36780"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.538461538461538	"Q8WWY3"	"P04618"	"Q2KRY7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.344827586206897	"Q8WWY3"	"P06422"	"P06423"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.583333333333333	"Q8WWY3"	"P06422"	"P06428"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.307692307692308	"Q8WWY3"	"P06422"	"P06790"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.0909090909090909	"Q8WWY3"	"P06422"	"P06921"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8WWY3"	"P06422"	"P36780"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.758620689655172	"Q8WWY3"	"P06422"	"Q2KRY7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.0740740740740741	"Q8WWY3"	"P06423"	"P06428"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.827586206896552	"Q8WWY3"	"P06423"	"P06790"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8WWY3"	"P06423"	"P06921"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8WWY3"	"P06423"	"P36780"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.1875	"Q8WWY3"	"P06423"	"Q2KRY7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8WWY3"	"P06428"	"P06790"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.1	"Q8WWY3"	"P06428"	"P06921"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8WWY3"	"P06428"	"P36780"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.666666666666667	"Q8WWY3"	"P06428"	"Q2KRY7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8WWY3"	"P06790"	"P06921"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8WWY3"	"P06790"	"P36780"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.137931034482759	"Q8WWY3"	"P06790"	"Q2KRY7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.5	"Q8WWY3"	"P06921"	"P36780"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.24	"Q8WWY3"	"P06921"	"Q2KRY7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.210526315789474	"Q8WWY3"	"P36780"	"Q2KRY7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92530"	"P03410"	"P06463"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.466666666666667	"Q92530"	"P03410"	"P24835"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.689655172413793	"Q92530"	"P03410"	"Q6VGS8"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92530"	"P06463"	"P24835"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92530"	"P06463"	"Q6VGS8"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.689655172413793	"Q92530"	"P24835"	"Q6VGS8"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92830"	"P03255"	"P04608"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92830"	"P03255"	"P0DTC9"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92830"	"P03255"	"P59595"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92830"	"P04608"	"P0DTC9"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92830"	"P04608"	"P59595"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.720930232558139	"Q92830"	"P0DTC9"	"P59595"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.0869565217391304	"Q92831"	"O12161"	"P03119"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.0769230769230769	"Q92831"	"O12161"	"P03120"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"O12161"	"P03129"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"O12161"	"P03255"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.0833333333333333	"Q92831"	"O12161"	"P04015"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"O12161"	"P04608"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"O12161"	"P06464"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.222222222222222	"Q92831"	"O12161"	"P06790"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.0476190476190476	"Q92831"	"O12161"	"P0DTC9"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"O12161"	"P14079"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.333333333333333	"Q92831"	"O12161"	"P18098"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.0350877192982456	"Q92831"	"O12161"	"P59595"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"O12161"	"Q76QC2"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.918918918918919	"Q92831"	"P03119"	"P03120"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.526315789473684	"Q92831"	"P03119"	"P03129"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.230769230769231	"Q92831"	"P03119"	"P03255"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.971428571428571	"Q92831"	"P03119"	"P04015"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03119"	"P04608"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.465116279069767	"Q92831"	"P03119"	"P06464"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.206896551724138	"Q92831"	"P03119"	"P06790"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03119"	"P0DTC9"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03119"	"P14079"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.382978723404255	"Q92831"	"P03119"	"P18098"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03119"	"P59595"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03119"	"Q76QC2"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.48780487804878	"Q92831"	"P03120"	"P03129"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.206896551724138	"Q92831"	"P03120"	"P03255"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.894736842105263	"Q92831"	"P03120"	"P04015"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03120"	"P04608"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.434782608695652	"Q92831"	"P03120"	"P06464"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.1875	"Q92831"	"P03120"	"P06790"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03120"	"P0DTC9"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03120"	"P14079"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.44	"Q92831"	"P03120"	"P18098"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03120"	"P59595"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03120"	"Q76QC2"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.533333333333333	"Q92831"	"P03129"	"P03255"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.564102564102564	"Q92831"	"P03129"	"P04015"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03129"	"P04608"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.851063829787234	"Q92831"	"P03129"	"P06464"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03129"	"P06790"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03129"	"P0DTC9"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03129"	"P14079"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.156862745098039	"Q92831"	"P03129"	"P18098"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03129"	"P59595"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03129"	"Q76QC2"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.222222222222222	"Q92831"	"P03255"	"P04015"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03255"	"P04608"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.514285714285714	"Q92831"	"P03255"	"P06464"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03255"	"P06790"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03255"	"P0DTC9"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q92831"	"P03255"	"P14079"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
