Top_S	Top_NS	p_val	Virus	Significance	log_p_val	organism	Category
5	0	0.572727272727287	37296		0.242052135704632	Human herpesvirus 8	Human_viruses
0	2	0.938582725780733	37959		0.0275274430567683	Human papillomavirus 38	Human_viruses
11	2	0.572727272727287	380337		0.242052135704632	Influenza A virus (strain A/Equine/Prague/1/1956 H7N7)	Human_viruses
29	7	0.631745993701168	381517		0.199457503533877	Influenza A virus (strain A/Udorn/307/1972 H3N2)	Human_viruses
47	8	0.572727272727287	381518		0.242052135704632	Influenza A virus (strain A/Wilson-Smith/1933 H1N1)	Human_viruses
8	1	0.572727272727287	382835		0.242052135704632	Influenza A virus	Human_viruses
26	5	0.572727272727287	385599		0.242052135704632	Influenza A virus (strain A/Udorn/1972 H3N2)	Human_viruses
17	3	0.572727272727287	392809		0.242052135704632	Influenza A virus (strain A/Victoria/3/1975 H3N2)	Human_viruses
16	4	0.572727272727287	402527		0.242052135704632	Influenza A virus (strain A/Chicken/Scotland/1959 H5N1)	Human_viruses
5	2	0.653040817419291	442553		0.185059672896507	Influenza A virus	Human_viruses
8	7	0.819427559920414	512345		0.0864894334508828	Hepatitis E virus genotype 3 (isolate Swine/United States/swUS1)	Non-human_viruses_that_infect_humans
23	8	0.572727272727287	512346		0.242052135704632	Hepatitis E virus genotype 1 (isolate Human/India/Hyderabad)	Human_viruses
18	3	0.572727272727287	644788		0.242052135704632	Influenza A virus	Human_viruses
3	0	0.572727272727287	648242		0.242052135704632	Adeno-associated virus 2 (isolate Srivastava/1982)	Human_viruses
33	10	0.572727272727287	694009		0.242052135704632	Severe acute respiratory syndrome coronavirus	Non-human_viruses_that_infect_humans
67	17	0.572727272727287	82830		0.242052135704632	Epstein-Barr virus (strain AG876)	Human_viruses
19	8	0.572727272727287	868565		0.242052135704632	Human herpesvirus 8 type P (isolate GK18)	Human_viruses
19	6	0.572727272727287	928302		0.242052135704632	Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto/-)	Human_viruses
4	1	0.572727272727287	997555		0.242052135704632	Influenza A virus	Human_viruses
