Top_High_Grantham	Top_Low_Grantham	p_val	Virus	Significance	log_p_val	organism	Category
1	13	0.978202097552716	337052		0.0095714102587629	Bovine papillomavirus type 1	Non-human_viruses_that_do_not_infect_humans
10	87	0.978202097552716	33708		0.0095714102587629	Murid herpesvirus 4	Non-human_viruses_that_do_not_infect_humans
3	38	0.978202097552716	363744		0.0095714102587629	Influenza A virus	Human_viruses
1	10	0.978202097552716	37122		0.0095714102587629	Human papillomavirus type 6a	Human_viruses
0	3	0.978202097552716	37296		0.0095714102587629	Human herpesvirus 8	Human_viruses
0	6	0.978202097552716	37959		0.0095714102587629	Human papillomavirus 38	Human_viruses
1	26	0.978202097552716	380337		0.0095714102587629	Influenza A virus (strain A/Equine/Prague/1/1956 H7N7)	Human_viruses
2	28	0.978202097552716	381517		0.0095714102587629	Influenza A virus (strain A/Udorn/307/1972 H3N2)	Human_viruses
7	78	0.978202097552716	381518		0.0095714102587629	Influenza A virus (strain A/Wilson-Smith/1933 H1N1)	Human_viruses
1	9	0.978202097552716	382835		0.0095714102587629	Influenza A virus	Human_viruses
2	27	0.978202097552716	385599		0.0095714102587629	Influenza A virus (strain A/Udorn/1972 H3N2)	Human_viruses
2	19	0.978202097552716	392809		0.0095714102587629	Influenza A virus (strain A/Victoria/3/1975 H3N2)	Human_viruses
3	43	0.978202097552716	402527		0.0095714102587629	Influenza A virus (strain A/Chicken/Scotland/1959 H5N1)	Human_viruses
2	20	0.978202097552716	442553		0.0095714102587629	Influenza A virus	Human_viruses
2	10	0.978202097552716	512345		0.0095714102587629	Hepatitis E virus genotype 3 (isolate Swine/United States/swUS1)	Non-human_viruses_that_infect_humans
5	31	0.978202097552716	512346		0.0095714102587629	Hepatitis E virus genotype 1 (isolate Human/India/Hyderabad)	Human_viruses
3	40	0.978202097552716	644788		0.0095714102587629	Influenza A virus	Human_viruses
0	5	0.978202097552716	648242		0.0095714102587629	Adeno-associated virus 2 (isolate Srivastava/1982)	Human_viruses
4	48	0.978202097552716	694009		0.0095714102587629	Severe acute respiratory syndrome coronavirus	Non-human_viruses_that_infect_humans
8	102	0.978202097552716	82830		0.0095714102587629	Epstein-Barr virus (strain AG876)	Human_viruses
4	25	0.978202097552716	868565		0.0095714102587629	Human herpesvirus 8 type P (isolate GK18)	Human_viruses
1	30	0.978202097552716	928302		0.0095714102587629	Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto/-)	Human_viruses
1	12	0.978202097552716	997555		0.0095714102587629	Influenza A virus	Human_viruses
